zindex,name,latitude,url,longitude,id
212800,Galewood,41.916147,http://www.zillow.com/local-info/IL-Chicago/Galewood/r_403325/,-87.790697,403325
291800,Goose Island,41.903615,http://www.zillow.com/local-info/IL-Chicago/Goose-Island/r_403298/,-87.654051,403298
126000,Park Manor,41.769037,http://www.zillow.com/local-info/IL-Chicago/Park-Manor/r_403356/,-87.618357,403356
204200,Montclare,41.927732,http://www.zillow.com/local-info/IL-Chicago/Montclare/r_274579/,-87.795964,274579
303900,Gold Coast,41.906104,http://www.zillow.com/local-info/IL-Chicago/Gold-Coast/r_403303/,-87.625526,403303
321100,Irving Park,41.952955,http://www.zillow.com/local-info/IL-Chicago/Irving-Park/r_269587/,-87.71102,269587
150500,Scottsdale,41.743922,http://www.zillow.com/local-info/IL-Chicago/Scottsdale/r_403367/,-87.731493,403367
134800,West Humboldt Park,41.902354,http://www.zillow.com/local-info/IL-Chicago/West-Humboldt-Park/r_403318/,-87.735967,403318
439300,Lincoln Park,41.918702,http://www.zillow.com/local-info/IL-Chicago/Lincoln-Park/r_269590/,-87.638261,269590
,West Garfield Park,41.883515,http://www.zillow.com/local-info/IL-Chicago/West-Garfield-Park/r_269613/,-87.735504,269613
132700,Ashburn,41.74822,http://www.zillow.com/local-info/IL-Chicago/Ashburn/r_269570/,-87.704459,269570
182600,McKinley Park,41.833761,http://www.zillow.com/local-info/IL-Chicago/McKinley-Park/r_139408/,-87.67525,139408
142600,Woodlawn,41.779689,http://www.zillow.com/local-info/IL-Chicago/Woodlawn/r_276138/,-87.586096,276138
306800,Beverly,41.72352,http://www.zillow.com/local-info/IL-Chicago/Beverly/r_272951/,-87.673739,272951
118700,Brainerd,41.72686,http://www.zillow.com/local-info/IL-Chicago/Brainerd/r_403378/,-87.650466,403378
217700,Belmont Heights,41.943431,http://www.zillow.com/local-info/IL-Chicago/Belmont-Heights/r_403283/,-87.816538,403283
