community,year,BATTERY,NARCOTICS,MOTOR VEHICLE THEFT,BURGLARY,DECEPTIVE PRACTICE,ASSAULT,CRIMINAL TRESPASS,ROBBERY,CRIMINAL DAMAGE,THEFT,name,price_nx_yr,svr,tree
36,2017,123,1,36,22,43,62,22,27,110,144,oakland,167.4833333,106.54105600819882,167.4833333
36,2018,131,4,26,15,57,66,13,20,96,134,oakland,202.4666667,109.30097741545039,167.4833333
37,2011,188,134,66,65,50,72,44,103,108,255,fuller park,17.95454545,113.14980861147448,79.29090909
37,2012,175,124,60,38,160,81,39,89,100,252,fuller park,10.65833333,118.90335510562652,280.125
37,2013,189,168,47,36,71,72,45,56,92,203,fuller park,20.9,109.84053580943889,55.48333333
37,2014,161,113,33,32,67,56,47,53,78,176,fuller park,24.80833333,108.77166923651855,24.80833333
37,2015,169,73,28,32,50,56,26,51,85,158,fuller park,39.375,105.76149150829467,42.20833333
37,2016,171,36,42,21,52,95,35,55,91,239,fuller park,31.85833333,103.26614544548481,31.85833333
37,2017,157,34,42,22,50,85,33,59,88,210,fuller park,56.80833333,103.2567826682545,24.80833333
37,2018,178,33,51,12,44,72,46,34,89,161,fuller park,62.13333333,103.12307005178643,62.13333333
38,2011,945,630,263,229,98,381,138,197,560,792,grand boulevard,38.86363636,71.98298546821677,36.46666667
38,2012,899,497,187,187,129,313,83,209,431,716,grand boulevard,47.05,97.7465701882749,36.46666667
38,2013,814,541,172,208,145,317,85,201,349,706,grand boulevard,54.075,91.58338832290535,47.33333333
38,2014,729,345,139,169,180,284,84,170,348,654,grand boulevard,61.25833333,89.83178245845117,47.33333333
38,2015,672,171,151,121,189,222,69,153,374,698,grand boulevard,83.425,129.01619082418546,134.9916667
38,2016,666,88,154,139,203,264,60,183,437,729,grand boulevard,101.0833333,112.98272132516938,150.83333330000005
38,2017,744,130,175,165,213,286,74,186,387,646,grand boulevard,117.025,97.41874239349197,119.4
38,2018,762,114,158,118,223,282,57,147,368,611,grand boulevard,119.4,119.35050415915536,119.4
39,2011,380,132,79,150,61,137,33,88,260,548,kenwood,79.29090909,83.17686670821347,79.29090909
39,2012,303,77,83,113,55,128,51,84,196,511,kenwood,86.45833333,91.4331860177255,37.75833333
39,2013,256,112,71,72,80,99,42,54,176,449,kenwood,96.06666667,114.81784893663932,65.225
39,2014,235,94,68,78,123,88,37,87,140,411,kenwood,108.76666670000002,107.9632662119431,142.54166669999995
39,2015,252,58,74,56,113,89,36,82,148,307,kenwood,117.4333333,112.72280779726786,169.9
39,2016,270,11,57,83,120,114,33,80,167,339,kenwood,126.0666667,110.2317145028566,142.54166669999995
39,2017,254,8,67,54,127,126,36,102,180,406,kenwood,131.875,106.760092879954,169.9
39,2018,262,12,71,55,127,118,46,61,186,370,kenwood,117.3,127.37392400613605,169.9
40,2011,851,569,210,313,60,256,146,177,415,521,washington park,22.48181818,97.02370045894274,36.46666667
40,2012,820,371,186,251,58,242,101,154,374,511,washington park,25.83333333,91.17325260507566,25.3
40,2013,761,421,131,195,65,243,95,209,310,565,washington park,28.38333333,122.36734671619267,36.46666667
40,2014,697,290,111,187,99,224,83,163,283,471,washington park,36.46666667,101.34805876903481,36.46666667
40,2015,690,154,81,203,103,232,62,124,390,405,washington park,36.19166667,91.68678246895358,25.3
40,2016,681,97,97,175,112,224,61,173,345,430,washington park,50.31666667,92.97608513407538,83.03333333
40,2017,713,50,115,135,110,250,54,165,356,422,washington park,53.29166667,79.4620575953442,53.29166667
40,2018,678,53,100,97,103,276,57,102,487,460,washington park,52.0,53.47249881664099,133.4833333
41,2011,233,114,129,167,117,100,41,104,217,744,hyde park,136.3545455,83.94060917694803,196.6
41,2012,225,43,93,135,118,119,45,100,223,665,hyde park,140.66666669999998,99.16151470716356,196.6
41,2013,191,34,80,142,97,93,51,77,150,619,hyde park,138.9,84.60710656639928,197.925
41,2014,172,17,62,111,134,59,26,78,136,501,hyde park,148.94166669999996,107.6973290511625,142.54166669999995
41,2015,194,15,87,86,135,78,33,92,157,487,hyde park,156.16666669999995,119.09211947946748,142.54166669999995
41,2016,168,9,73,166,186,72,43,94,216,572,hyde park,173.85,157.36950823413207,142.54166669999995
41,2017,209,7,64,103,179,96,24,98,135,623,hyde park,176.6,83.38999384524429,176.6
41,2018,213,10,64,103,195,102,34,111,288,661,hyde park,186.4333333,174.45201657979413,176.6
42,2011,1126,871,237,407,120,376,216,216,545,827,woodlawn,38.06363636,38.16971864494478,38.06363636
42,2012,1106,778,144,335,122,393,223,220,566,837,woodlawn,42.18333333,27.701649623965906,36.46666667
42,2013,994,550,115,312,128,329,154,225,450,779,woodlawn,50.325,51.67391821712879,36.46666667
42,2014,879,409,98,272,182,313,120,176,403,631,woodlawn,50.89166667,61.37180947230006,63.75833333
42,2015,813,254,118,281,157,274,86,171,443,565,woodlawn,68.975,93.93130894910352,47.33333333
42,2016,808,145,129,299,176,290,93,196,409,575,woodlawn,93.475,97.92392803150794,63.75833333
42,2017,856,121,121,318,159,342,82,206,497,598,woodlawn,114.6166667,63.18385657641845,133.4833333
42,2018,786,167,104,176,170,313,95,127,431,546,woodlawn,129.3,77.7684862629532,129.3
43,2011,2542,1189,627,1468,318,755,239,584,1156,1908,south shore,26.88181818,311.636850665832,103.1
43,2012,2402,1145,397,1238,328,796,256,605,1304,1906,south shore,24.0,-99.69170962327992,103.1
43,2013,2192,945,340,1045,336,714,215,452,1267,1836,south shore,28.29166667,-166.22316692136593,103.1
43,2014,2024,846,277,689,424,651,247,380,993,1504,south shore,30.64166667,-39.86033751689031,28.44166667
43,2015,2059,655,267,745,465,653,183,342,1026,1476,south shore,38.53333333,121.76642208341143,28.44166667
43,2016,1990,264,305,584,418,744,168,461,971,1266,south shore,49.88333333,49.75419610440365,49.88333333
43,2017,2156,237,317,566,481,781,197,466,985,1338,south shore,57.29166667,58.992351827894865,49.88333333
43,2018,2025,334,293,510,443,797,210,296,1049,1484,south shore,60.8,41.65725695322833,49.88333333
44,2011,1253,706,498,599,299,445,151,420,639,1544,chatham,36.63636364,10.998125725410475,28.44166667
44,2012,1297,675,332,420,388,455,161,473,717,1616,chatham,41.425,51.18708618449379,28.44166667
44,2013,1330,663,284,461,442,466,148,410,643,1636,chatham,45.76666667,-72.86143146788602,28.44166667
44,2014,1177,489,216,383,401,404,152,288,613,1513,chatham,47.8,34.21716417941131,37.49090909
44,2015,1280,395,170,357,376,444,113,276,568,1335,chatham,53.76666667,14.320134105000008,84.81666667
44,2016,1338,237,237,382,375,471,146,320,712,1357,chatham,66.14166667,112.2026820484745,37.49090909
44,2017,1284,180,233,320,393,540,219,296,681,1485,chatham,69.725,69.62202977282793,69.725
44,2018,1344,265,187,258,374,560,173,243,703,1582,chatham,72.96666667,115.85537763537938,69.725
45,2011,347,76,118,159,71,152,36,136,189,478,avalon park,36.93636364,74.66132004018361,160.87916669999996
45,2012,340,80,89,131,78,130,20,115,192,453,avalon park,37.75833333,84.08090045848,37.75833333
45,2013,294,91,76,126,72,128,24,81,176,376,avalon park,46.73333333,91.63553445785071,46.73333333
45,2014,286,118,61,75,74,112,31,90,146,328,avalon park,53.83333333,100.28614580949504,53.7
45,2015,274,91,59,88,72,124,25,65,159,231,avalon park,65.225,101.7986072453488,65.225
45,2016,277,53,53,88,82,121,27,65,157,198,avalon park,70.39166667,103.24897933156642,53.7
45,2017,281,15,58,77,77,118,29,65,150,242,avalon park,76.61666667,102.47345572323609,80.3
45,2018,252,29,47,58,62,120,28,37,154,199,avalon park,80.3,102.29440908390022,80.3
46,2011,1494,666,302,658,146,556,142,287,711,1051,south chicago,16.22727273,16.015011653463418,16.22727273
46,2012,1424,628,225,592,174,577,110,277,839,952,south chicago,16.94166667,-65.75660154763393,10.74166667
46,2013,1256,559,199,550,184,446,104,244,682,857,south chicago,18.15,35.384033397552386,37.49090909
46,2014,1117,660,136,317,185,426,127,176,550,741,south chicago,24.58333333,-3.2234614329216384,63.75833333
46,2015,1178,444,140,316,191,404,131,171,564,720,south chicago,38.65833333,38.64903603964119,38.65833333
46,2016,1141,218,161,310,210,502,110,214,576,658,south chicago,34.03333333,27.115795164775747,38.65833333
46,2017,1097,169,181,249,205,410,111,167,581,669,south chicago,52.025,55.603939228137435,63.75833333
46,2018,1052,178,174,256,174,427,119,138,484,617,south chicago,46.93333333,41.788984968500856,120.03333329999998
47,2011,91,45,33,53,7,35,4,16,55,63,burnside,24.84545455,104.75808615962289,136.05833330000002
47,2012,85,43,26,84,16,40,6,14,71,93,burnside,20.40833333,103.60668545971491,20.40833333
47,2013,79,39,22,59,13,24,7,18,53,102,burnside,28.06666667,104.3801585311923,136.05833330000002
47,2014,74,58,13,24,14,31,3,17,42,80,burnside,35.75833333,104.34392262956264,136.05833330000002
47,2015,69,20,24,19,24,35,9,17,54,57,burnside,44.00833333,105.02100349266361,40.1
47,2016,86,15,17,23,23,38,6,13,72,53,burnside,40.1,104.59949267558868,40.1
47,2017,81,19,15,26,18,37,1,7,53,38,burnside,47.325,105.19658527580047,40.1
47,2018,67,30,14,18,15,38,5,24,49,62,burnside,93.1,104.79094488299499,40.1
48,2011,303,108,164,261,101,107,41,107,287,543,calumet heights,52.79090909,116.12486028934579,145.91666669999995
48,2012,279,69,109,152,84,93,32,122,248,560,calumet heights,53.7,96.4470110828726,53.7
48,2013,287,63,91,110,80,102,32,77,183,400,calumet heights,58.74166667,106.27240941932466,53.7
48,2014,262,92,96,76,92,100,30,63,182,402,calumet heights,65.28333333,115.22504737608612,65.28333333
48,2015,259,72,68,98,98,120,30,64,195,285,calumet heights,80.225,108.10204528275533,142.54166669999995
48,2016,253,31,88,93,128,115,19,63,171,273,calumet heights,79.61666667,115.30155714791469,142.54166669999995
48,2017,230,30,89,86,94,108,34,69,197,245,calumet heights,93.34166667,106.45106497981503,93.34166667
48,2018,282,36,87,66,99,144,21,44,148,237,calumet heights,87.0,104.86227256033924,169.9
49,2011,1957,1263,649,854,255,640,262,425,984,1552,roseland,21.56363636,-17.95322214085975,14.56363636
49,2012,1792,1087,369,627,348,638,211,470,1029,1434,roseland,24.90833333,7.251649907192743,32.45454545
49,2013,1578,997,307,555,268,602,212,437,902,1370,roseland,27.18333333,7.352888116946971,16.22727273
49,2014,1447,800,220,442,315,561,207,333,866,1213,roseland,28.175,-11.443784350428203,30.825
49,2015,1435,517,243,477,336,554,149,267,793,967,roseland,33.86666667,32.40144991209597,37.49090909
49,2016,1498,377,262,455,293,606,202,352,878,990,roseland,40.43333333,-82.70240306279523,61.90909091
49,2017,1449,297,254,406,342,615,188,331,918,1014,roseland,53.825,-84.42038538017444,37.49090909
49,2018,1466,334,226,300,290,654,221,255,884,1019,roseland,56.9,-132.36721931053108,69.725
50,2011,253,47,65,89,57,129,42,34,127,211,pullman,38.05454545,98.79078126931124,38.05454545
50,2012,258,81,75,70,58,114,51,35,153,207,pullman,41.64166667,99.81014976258409,65.225
50,2013,240,49,47,54,56,90,42,41,115,251,pullman,39.475,104.81467079026258,62.13333333
50,2014,233,52,33,44,73,131,39,35,129,305,pullman,39.75,104.55078301717656,31.85833333
50,2015,217,52,36,32,63,93,36,20,117,233,pullman,42.20833333,109.51433793853464,42.20833333
50,2016,237,32,45,50,79,110,25,40,160,264,pullman,63.88333333,110.95761783484265,93.34166667
50,2017,171,33,49,49,53,96,26,29,110,279,pullman,59.075,105.48752587936194,59.075
50,2018,232,28,41,37,70,108,35,24,96,310,pullman,41.56666667,105.85692700635734,80.3
51,2011,477,198,124,175,79,210,65,97,298,468,south deering,25.3,84.50524977222737,25.3
51,2012,462,136,85,162,63,210,75,83,351,412,south deering,22.80833333,71.60849130266358,79.29090909
51,2013,410,133,76,167,79,169,78,81,281,478,south deering,27.625,97.3692278439077,79.29090909
51,2014,368,202,85,132,107,144,95,83,254,475,south deering,22.55,120.94290081219076,54.45833333
51,2015,361,103,60,111,109,178,82,60,198,390,south deering,27.16666667,98.95899490274603,183.65
51,2016,353,58,80,73,113,186,59,65,253,397,south deering,51.675,109.44530644892,167.7666667
51,2017,347,54,75,64,100,170,40,50,198,395,south deering,53.875,109.97555097340516,169.9
51,2018,356,49,71,47,97,159,58,55,168,432,south deering,65.43333333,108.48040260588384,169.9
52,2011,348,193,74,179,61,137,20,20,354,260,east side,51.16363636,69.46613007556077,55.48333333
52,2012,312,114,97,135,58,158,30,28,338,271,east side,52.03333333,74.65669862459542,52.03333333
52,2013,257,145,74,85,47,102,23,27,250,261,east side,61.09166667,96.9657862981632,55.48333333
52,2014,246,150,43,89,57,96,28,18,227,230,east side,55.48333333,98.99627468828946,55.48333333
52,2015,259,114,30,62,62,120,25,31,230,180,east side,72.68333333,94.47925151984707,42.20833333
52,2016,295,46,51,65,75,120,27,23,224,218,east side,84.6,108.44841414825821,84.6
52,2017,263,38,45,54,63,101,24,17,225,185,east side,82.01666667,106.5997853187702,42.20833333
52,2018,274,39,63,46,38,105,31,29,156,145,east side,83.2,95.30423975154297,59.075
53,2011,1133,730,396,524,158,464,122,262,667,726,west pullman,20.12727273,47.806168892871185,16.22727273
53,2012,1094,721,288,455,131,417,121,201,759,858,west pullman,21.13333333,-65.5049062309998,10.74166667
53,2013,1071,615,213,432,118,380,101,164,594,732,west pullman,22.325,-9.87155199532647,10.74166667
53,2014,914,438,139,300,168,339,91,171,515,663,west pullman,25.25,52.57133122408338,63.75833333
53,2015,871,303,132,221,168,311,51,145,554,604,west pullman,31.20833333,79.46362684343983,114.03333329999998
53,2016,861,163,160,225,188,343,74,147,598,494,west pullman,34.71666667,34.81968211356359,34.71666667
53,2017,896,141,135,190,184,382,94,147,586,534,west pullman,50.375,17.823246747894856,135.4
53,2018,845,160,118,223,187,376,93,115,534,580,west pullman,49.36666667,59.862164789751816,120.03333329999998
55,2011,117,47,40,72,27,72,18,10,122,197,hegewisch,74.31818182,103.47727262010828,20.40833333
55,2012,152,40,26,51,28,55,23,11,123,143,hegewisch,69.73333333,106.81947244330028,24.80833333
55,2013,125,49,42,36,33,46,22,9,103,160,hegewisch,63.41666667,109.58503651264225,24.80833333
55,2014,112,32,13,36,44,56,20,7,69,153,hegewisch,79.475,106.83795013837396,171.83333330000005
55,2015,107,21,12,21,54,40,8,11,62,107,hegewisch,80.83333333,108.73170737108005,171.83333330000005
55,2016,143,8,17,34,48,57,12,6,86,112,hegewisch,104.7916667,109.48163946132006,179.1
55,2017,129,6,33,44,43,62,15,11,107,130,hegewisch,101.9416667,108.2382223994802,167.4833333
55,2018,133,12,12,64,36,54,10,12,77,110,hegewisch,91.0,107.18053188563515,179.1
56,2011,307,227,101,285,154,125,55,38,396,518,garfield ridge,120.6272727,145.33447517759413,54.45833333
56,2012,348,251,97,200,170,128,48,51,323,550,garfield ridge,127.975,128.0395927144629,127.975
56,2013,273,221,86,169,121,115,35,47,328,490,garfield ridge,147.575,120.02388444548994,54.45833333
56,2014,237,176,64,130,139,92,49,42,288,417,garfield ridge,162.2833333,150.78941990943275,54.45833333
56,2015,240,125,68,112,173,122,35,32,308,406,garfield ridge,165.95833330000005,169.3669171515823,203.3916667
56,2016,275,60,105,153,235,123,44,49,330,506,garfield ridge,179.33333330000005,232.0874963533817,142.54166669999995
56,2017,291,64,122,121,213,111,53,57,262,395,garfield ridge,177.33333330000005,177.4248949280838,177.33333330000005
56,2018,260,74,91,115,208,113,36,32,304,506,garfield ridge,196.7666667,218.86044315329053,251.8333333
57,2011,149,59,117,140,38,50,14,53,239,270,archer heights,91.95454545,105.80901033159277,65.28333333
57,2012,181,67,97,116,37,51,6,67,203,253,archer heights,111.1833333,101.64760151143598,65.28333333
57,2013,149,64,90,92,42,50,8,52,179,358,archer heights,112.8666667,106.61987614296156,65.28333333
57,2014,114,54,112,73,51,48,10,33,174,260,archer heights,117.9916667,113.96377737745222,65.28333333
57,2015,173,42,53,71,51,69,12,43,143,220,archer heights,119.5416667,106.2457597230288,65.225
57,2016,133,32,70,63,56,60,15,25,114,216,archer heights,128.7916667,110.42359598484033,149.7
57,2017,134,19,51,92,71,51,23,30,114,181,archer heights,146.05833330000004,114.97982126738331,146.05833330000004
57,2018,140,24,41,66,46,53,11,28,127,199,archer heights,155.56666669999996,109.59462133671347,149.7
58,2011,629,239,468,283,73,185,43,130,545,550,brighton park,53.08181818,-34.5497572763132,114.03333329999998
58,2012,625,160,273,291,88,201,56,121,457,510,brighton park,54.45833333,78.28934462017712,54.45833333
58,2013,523,223,294,218,82,164,50,86,344,462,brighton park,70.24166667,70.31329400926113,70.24166667
58,2014,564,322,163,247,112,159,55,65,414,428,brighton park,81.40833333,75.89414286981552,54.45833333
58,2015,549,306,169,140,114,151,35,106,348,418,brighton park,89.225,90.03345143653057,54.45833333
58,2016,534,157,153,198,122,203,36,151,374,339,brighton park,109.96666670000002,85.25854409753735,54.45833333
58,2017,477,98,91,131,105,182,35,130,309,312,brighton park,118.225,89.71824686193138,142.54166669999995
58,2018,473,78,125,107,117,176,33,93,301,373,brighton park,126.5666667,103.305015027475,142.54166669999995
59,2011,208,125,109,100,47,85,18,30,243,318,mckinley park,103.8545455,105.26027219292261,79.29090909
59,2012,212,75,112,83,43,60,17,26,198,372,mckinley park,110.3333333,120.27046995037124,65.28333333
59,2013,197,85,88,83,56,66,16,27,159,363,mckinley park,100.9666667,111.74214950143066,65.28333333
59,2014,177,77,50,64,46,57,26,30,148,276,mckinley park,113.65833329999998,112.7722660033243,65.225
59,2015,160,96,63,43,49,73,16,38,164,282,mckinley park,128.1416667,111.1476502588768,62.13333333
59,2016,162,58,58,63,45,76,14,29,174,252,mckinley park,142.8583333,108.19631611679704,65.225
59,2017,141,66,50,74,62,82,26,44,153,235,mckinley park,155.5916667,107.84880440174236,65.225
59,2018,150,24,43,73,44,76,22,23,130,234,mckinley park,175.43333330000004,107.51162663034044,149.7
60,2011,387,126,129,214,61,164,57,64,450,403,bridgeport,127.3454545,73.30778979164386,134.15
60,2012,339,75,128,188,60,129,55,44,376,515,bridgeport,134.15,134.07324811685174,134.15
60,2013,302,102,118,151,70,117,49,33,311,436,bridgeport,148.525,128.88588555256428,134.15
60,2014,274,68,76,149,86,127,45,41,295,430,bridgeport,156.79166669999995,125.97183197917472,37.75833333
60,2015,250,55,97,125,85,123,38,41,256,373,bridgeport,170.1333333,120.21627087578524,65.28333333
60,2016,259,48,59,113,136,125,44,72,268,396,bridgeport,180.3666667,133.66384950373612,142.54166669999995
60,2017,217,36,62,133,106,106,27,54,205,379,bridgeport,196.2916667,117.00048113347582,142.54166669999995
60,2018,240,30,64,117,152,125,43,34,232,312,bridgeport,195.8,143.6024027375526,195.8
61,2011,1510,1264,459,569,156,485,177,226,793,1106,new city,17.93636364,-225.04357994308594,16.22727273
61,2012,1412,1013,304,450,156,493,119,219,697,1140,new city,18.34166667,-143.87965543031243,16.22727273
61,2013,1237,821,184,286,152,418,123,177,606,1218,new city,24.55833333,-83.42535449373902,142.125
61,2014,1134,545,195,260,190,383,104,212,581,1046,new city,28.65,48.220751647298286,84.81666667
61,2015,1053,590,160,256,194,372,76,182,519,859,new city,38.54166667,32.37947916371847,51.65
61,2016,1095,316,192,303,197,437,81,260,560,762,new city,47.33333333,68.87990631033533,47.33333333
61,2017,1038,234,202,192,178,414,95,211,507,830,new city,63.75833333,63.611767700741595,63.75833333
61,2018,922,198,141,184,193,439,76,162,451,802,new city,62.33333333,63.53125353209832,51.65
62,2011,187,80,88,179,45,67,19,67,252,326,west elsdon,97.41818182,101.79682491891178,65.28333333
62,2012,181,85,94,129,55,65,24,62,249,293,west elsdon,98.775,109.48707008155104,65.28333333
62,2013,155,76,89,125,54,63,25,43,200,355,west elsdon,115.275,115.05847640289282,65.28333333
62,2014,123,47,64,100,81,47,21,40,165,221,west elsdon,118.05,121.57163199359654,65.225
62,2015,133,50,60,79,73,56,24,49,153,232,west elsdon,129.78333329999998,115.59600837492796,65.225
62,2016,142,17,63,136,74,49,31,60,171,237,west elsdon,137.8666667,121.40749648484613,146.05833330000004
62,2017,135,19,55,94,74,52,19,63,166,235,west elsdon,149.675,113.63645673683929,146.05833330000004
62,2018,135,24,41,103,71,58,19,27,122,283,west elsdon,147.4,111.84027389067175,147.4
63,2011,604,420,383,260,73,186,51,117,529,606,gage park,47.87272727,16.939887343614075,114.03333329999998
63,2012,541,290,318,218,85,166,69,143,441,564,gage park,53.525,83.8024499308223,114.03333329999998
63,2013,488,260,189,188,80,144,49,110,381,566,gage park,61.21666667,101.39543795776915,61.21666667
63,2014,446,259,134,179,125,153,49,82,365,498,gage park,74.64166667,108.23644183907815,54.45833333
63,2015,453,199,121,156,94,160,36,119,300,410,gage park,83.925,97.53407988114775,54.45833333
63,2016,475,104,124,175,109,175,22,112,356,410,gage park,93.33333333,98.18194951597904,142.54166669999995
63,2017,443,83,134,153,104,158,37,162,289,425,gage park,110.1833333,92.41937559081559,142.54166669999995
63,2018,394,89,101,116,112,162,40,81,269,394,gage park,110.4333333,108.22660953078154,142.54166669999995
64,2011,233,60,34,164,54,99,17,18,240,245,clearing,110.1090909,105.458825569128,31.85833333
64,2012,236,54,38,106,72,72,16,23,234,254,clearing,116.4333333,123.10736511342218,31.85833333
64,2013,182,46,41,102,79,59,27,16,199,223,clearing,131.725,127.38979762166052,42.20833333
64,2014,142,53,35,69,86,62,13,14,135,239,clearing,139.525,118.41230375192951,20.40833333
64,2015,151,38,43,78,80,53,11,27,150,172,clearing,149.875,116.8930787786832,20.40833333
64,2016,151,20,47,92,101,57,27,26,126,193,clearing,165.0166667,122.70100451933119,217.325
64,2017,156,26,34,68,74,54,14,16,169,176,clearing,171.83333330000005,120.9128480199244,171.83333330000005
64,2018,165,20,46,57,98,63,20,16,139,211,clearing,169.9,125.52612302692994,169.9
65,2011,302,139,161,308,93,127,19,110,410,785,west lawn,89.57272727,60.467830723019844,134.15
65,2012,326,72,152,197,108,111,21,94,324,797,west lawn,95.86666667,113.18829844825738,196.6
65,2013,272,93,89,199,98,85,30,101,299,768,west lawn,108.7416667,88.61024374275364,196.6
65,2014,215,100,87,153,111,111,26,56,276,752,west lawn,118.2,109.27370972705755,196.6
65,2015,277,69,117,143,119,97,24,65,278,655,west lawn,125.875,143.82753089065153,196.6
65,2016,303,43,99,177,147,107,31,101,352,556,west lawn,138.325,156.06189820195067,142.54166669999995
65,2017,254,55,93,124,125,109,31,87,283,498,west lawn,142.54166669999995,134.4905738803456,142.54166669999995
65,2018,283,37,90,153,100,126,37,50,207,489,west lawn,140.83333330000005,112.74115221373647,142.54166669999995
66,2011,1806,1510,564,969,194,605,215,450,1020,1447,chicago lawn,37.07272727,-47.248556614635916,16.22727273
66,2012,1601,1129,411,692,255,532,251,415,902,1342,chicago lawn,39.01666667,65.17529427538027,16.22727273
66,2013,1454,809,285,552,207,479,183,348,773,1241,chicago lawn,46.6,4.74391208424565,10.74166667
66,2014,1251,652,245,516,298,395,149,254,700,1056,chicago lawn,54.875,46.03402794002538,30.825
66,2015,1261,617,287,411,296,407,126,244,682,877,chicago lawn,64.85833333,55.17523109599931,28.44166667
66,2016,1282,242,268,514,283,457,112,287,782,874,chicago lawn,67.26666667,110.08462155410886,67.26666667
66,2017,1228,226,253,420,306,460,126,279,743,903,chicago lawn,77.26666667,82.54966243954475,37.49090909
66,2018,1247,236,273,326,277,578,94,279,654,982,chicago lawn,85.16666667,15.344127308794825,158.3916667
67,2011,2242,1392,396,948,202,746,317,426,1211,1647,west englewood,10.65454545,-286.6692819885946,14.56363636
67,2012,2228,1373,328,743,209,654,266,449,975,1533,west englewood,10.60833333,-99.46473323194444,14.56363636
67,2013,2004,1095,297,577,204,595,258,465,879,1532,west englewood,11.525,11.887729589229977,11.525
67,2014,1747,1024,213,437,239,588,178,303,733,1100,west englewood,11.33333333,-48.94693776256538,10.74166667
67,2015,1674,1165,229,360,279,512,126,262,769,899,west englewood,17.09166667,-112.32451579374977,10.74166667
67,2016,1655,516,263,464,267,587,156,354,800,886,west englewood,21.15833333,56.04308737577155,61.90909091
67,2017,1626,504,202,317,273,586,149,294,888,937,west englewood,28.25,-23.074927867987597,38.18333333
67,2018,1662,455,223,276,247,693,204,265,759,1071,west englewood,28.36666667,-66.193714694892,69.725
68,2011,2110,1009,376,719,165,677,293,498,971,1409,englewood,8.009090909,85.81815904429747,14.56363636
68,2012,2084,1049,320,655,205,626,280,420,911,1395,englewood,8.858333333,-9.015968215608908,14.56363636
68,2013,2009,844,271,397,194,603,279,405,789,1372,englewood,9.15,9.143988229901126,9.15
68,2014,1712,787,209,379,274,574,175,357,625,1089,englewood,10.74166667,65.36191299276759,10.74166667
68,2015,1622,886,248,353,250,556,150,289,711,914,englewood,12.09166667,24.722451887107283,38.18333333
68,2016,1579,483,208,306,238,605,160,307,661,780,englewood,16.375,40.68458955916792,38.65833333
68,2017,1482,315,197,231,202,575,134,259,651,805,englewood,21.08333333,21.108568465059918,21.08333333
68,2018,1566,409,198,215,212,595,118,201,663,877,englewood,23.16666667,63.764207581013736,21.08333333
69,2011,1869,1083,560,655,243,636,351,502,820,1238,greater grand crossing,19.47272727,255.77096828077555,14.56363636
69,2012,1873,1056,394,529,373,579,302,514,873,1333,greater grand crossing,21.525,149.3226477454147,34.06666667
69,2013,1719,804,300,429,333,540,281,405,731,1311,greater grand crossing,28.44166667,28.76259751761897,28.44166667
69,2014,1500,606,223,367,368,511,204,317,672,1074,greater grand crossing,30.825,30.889167861357393,30.825
69,2015,1610,439,238,387,309,548,164,299,784,1057,greater grand crossing,31.41666667,51.17871940239199,37.49090909
69,2016,1624,249,224,359,305,562,181,381,822,1027,greater grand crossing,44.61666667,-21.817961950918132,37.49090909
69,2017,1585,217,247,334,270,637,148,393,773,965,greater grand crossing,50.025,-66.16281325811072,34.70833333
69,2018,1545,295,234,281,260,633,132,242,749,952,greater grand crossing,46.0,7.915680809978923,46.0
70,2011,463,220,179,327,128,174,66,126,430,636,ashburn,86.95454545,112.4493953320263,91.72727273
70,2012,401,142,149,301,139,205,62,123,369,596,ashburn,92.60833333,92.50096408001916,92.60833333
70,2013,370,155,146,298,122,161,56,137,434,637,ashburn,102.3333333,102.0279343883805,127.975
70,2014,357,158,113,219,201,161,55,78,364,569,ashburn,112.3333333,163.82413180699876,127.975
70,2015,386,120,116,149,162,162,54,81,321,460,ashburn,121.96666670000002,135.7312266356086,167.7666667
70,2016,426,44,275,202,170,199,45,125,386,562,ashburn,133.4833333,109.02728062096791,145.91666669999995
70,2017,448,33,188,195,194,169,43,111,379,468,ashburn,145.91666669999995,145.36919550722013,145.91666669999995
70,2018,450,40,107,130,186,207,60,100,323,485,ashburn,138.4666667,128.33602829019145,167.7666667
71,2011,1922,1454,536,908,295,654,287,474,931,1548,auburn gresham,32.45454545,32.556573206659934,32.45454545
71,2012,1971,1296,390,691,278,641,278,428,986,1430,auburn gresham,30.9,-54.12711052481684,14.56363636
71,2013,1825,1020,295,460,285,585,209,477,851,1559,auburn gresham,34.06666667,33.90259462925239,34.06666667
71,2014,1783,762,279,467,406,584,200,379,772,1364,auburn gresham,40.39166667,8.703739380099407,28.44166667
71,2015,1681,682,299,551,383,638,214,370,888,1074,auburn gresham,49.375,4.903715776322471,28.44166667
71,2016,1727,307,270,504,388,640,178,383,989,1154,auburn gresham,52.025,9.401403910930796,49.88333333
71,2017,1682,345,280,340,347,710,228,349,860,1207,auburn gresham,61.025,-110.6012303683245,158.3916667
71,2018,1656,412,225,318,382,717,187,304,815,1188,auburn gresham,60.06666667,-20.22298605392355,69.725
72,2011,137,38,41,142,87,56,37,42,162,358,beverly,130.7454545,122.31285689016583,20.40833333
72,2012,131,27,67,113,81,70,27,43,166,361,beverly,129.03333329999998,119.40882787420848,146.05833330000004
72,2013,127,29,27,66,73,70,22,56,110,298,beverly,149.7,100.97917946662089,149.7
