community,year,BATTERY,NARCOTICS,MOTOR VEHICLE THEFT,BURGLARY,DECEPTIVE PRACTICE,ASSAULT,CRIMINAL TRESPASS,ROBBERY,CRIMINAL DAMAGE,THEFT,name,price_nx_yr,svr,tree
8,2016,1237,122,294,202,1583,377,252,294,658,4905,near north side,365.7666667,2053.4984714924785,266.8909091
8,2017,1388,138,337,241,1793,461,358,414,636,5895,near north side,367.9916667,1300.2412211066542,266.8909091
8,2018,1570,130,325,213,2025,552,354,383,609,6131,near north side,359.7,1296.722178710202,266.8909091
9,2011,75,5,7,33,30,17,13,0,71,82,edison park,186.5363636,110.66026440076182,40.1
9,2012,64,7,8,20,27,14,13,4,56,70,edison park,196.3583333,108.59288622071965,40.1
9,2013,56,5,6,14,24,11,13,1,54,74,edison park,228.2833333,109.27477888166065,40.1
9,2014,34,4,3,16,30,11,12,1,39,56,edison park,219.1416667,108.36125879135447,40.1
9,2015,49,5,9,15,41,18,6,1,33,45,edison park,211.5333333,107.4006929331121,179.1
9,2016,40,2,12,19,44,27,7,4,46,68,edison park,227.5416667,108.7645595603572,179.1
9,2017,45,2,9,4,34,20,12,3,36,65,edison park,230.1583333,107.9484555798753,179.1
9,2018,63,1,13,12,29,17,11,1,32,50,edison park,218.1333333,106.50834631841455,40.1
10,2011,203,32,43,137,89,79,35,19,260,375,norwood park,158.1454545,149.53947119344883,158.1454545
10,2012,224,41,40,97,83,94,40,17,229,426,norwood park,181.5416667,143.389518816529,31.85833333
10,2013,205,53,37,75,67,66,28,4,162,355,norwood park,207.6666667,128.09062206186644,31.85833333
10,2014,192,58,30,90,111,73,42,13,176,315,norwood park,203.3916667,138.83874380692868,203.3916667
10,2015,175,48,25,94,123,83,49,9,188,323,norwood park,211.0666667,149.2437608393422,203.3916667
10,2016,187,24,43,96,161,77,41,15,195,341,norwood park,218.0833333,170.82230311175334,203.3916667
10,2017,172,17,32,70,147,80,34,14,138,260,norwood park,217.325,139.65139645958442,217.325
10,2018,179,17,48,76,115,105,52,10,135,311,norwood park,212.7,130.33706908147468,217.325
11,2011,184,52,65,132,91,59,30,17,207,279,jefferson park,131.7454545,137.3679309566316,84.6
11,2012,213,56,75,136,57,63,42,27,221,365,jefferson park,148.9,133.9886831888536,65.225
11,2013,193,95,57,113,61,64,56,27,154,346,jefferson park,161.5916667,120.47652169265818,65.225
11,2014,187,60,53,103,79,67,48,21,146,328,jefferson park,169.525,124.29467523748933,84.6
11,2015,173,64,42,82,100,56,38,24,135,294,jefferson park,181.45,125.43534216222467,195.8
11,2016,147,23,45,75,108,79,33,23,135,292,jefferson park,189.1583333,127.6693962103847,217.325
11,2017,156,23,49,58,129,70,25,18,130,265,jefferson park,198.3666667,134.0158309636028,169.9
11,2018,157,15,51,63,99,89,50,18,130,291,jefferson park,194.9666667,128.40054884037198,169.9
12,2011,71,20,18,105,34,23,10,6,118,136,forest glen,229.35,112.88762351747407,171.83333330000005
12,2012,51,15,24,100,46,26,12,3,85,180,forest glen,215.1625,111.56467832078185,179.1
12,2013,44,12,23,76,33,19,7,5,65,123,forest glen,245.825,108.77009634957646,40.1
12,2014,43,9,9,72,63,23,9,2,78,111,forest glen,247.0,115.32753121892794,179.1
12,2015,57,10,15,51,50,25,19,3,57,125,forest glen,235.7291667,111.8103444475709,179.1
12,2016,63,9,30,76,65,33,24,7,73,146,forest glen,245.8458333,116.05918642292788,179.1
12,2017,50,6,25,47,77,38,27,8,59,158,forest glen,244.0083333,116.77782349894521,179.1
12,2018,42,2,29,53,67,25,25,5,44,155,forest glen,224.0,114.60674642278848,179.1
13,2011,125,46,65,143,32,52,26,32,187,296,north park,136.3545455,111.33953664266589,65.225
13,2012,130,49,64,159,41,36,22,23,123,328,north park,136.05833330000002,105.89434071498833,136.05833330000002
13,2013,117,35,41,90,33,49,17,20,111,296,north park,151.3666667,103.1985698343771,20.40833333
13,2014,99,36,42,103,53,46,15,19,110,271,north park,165.325,106.93109149958416,20.40833333
13,2015,113,36,35,87,59,34,16,23,119,246,north park,177.2583333,114.85259942456302,136.05833330000002
13,2016,131,30,39,71,95,50,17,31,114,307,north park,181.8416667,118.29392748431853,149.7
13,2017,135,17,61,68,61,54,32,26,99,323,north park,186.9083333,115.38514913539909,149.7
13,2018,130,12,49,79,88,53,29,28,114,305,north park,177.1333333,122.70813883487169,177.1333333
14,2011,536,225,211,287,95,162,71,127,451,579,albany park,91.72727273,111.34977260853263,114.03333329999998
14,2012,556,191,221,245,78,147,45,114,402,617,albany park,114.03333329999998,109.45087697981141,114.03333329999998
14,2013,501,168,177,169,92,140,43,125,367,589,albany park,134.9916667,114.10861134302756,134.9916667
14,2014,436,153,116,141,118,145,47,94,340,506,albany park,159.85,123.02562738197518,54.45833333
14,2015,496,119,144,176,114,172,52,70,381,550,albany park,165.79166669999995,130.7017148602892,165.79166669999995
14,2016,454,45,144,125,152,145,36,166,347,564,albany park,175.66666669999995,116.69756582781626,145.91666669999995
14,2017,430,27,175,147,143,124,38,144,287,693,albany park,178.425,124.21987585905951,210.6
14,2018,481,32,136,149,150,152,47,132,330,558,albany park,185.3666667,131.18757118508728,142.54166669999995
15,2011,668,258,298,437,151,247,81,103,595,1049,portage park,110.3909091,134.2028290135051,67.26666667
15,2012,629,228,331,355,177,202,80,109,532,1071,portage park,123.73333329999998,198.14395833322413,141.65
15,2013,616,370,248,260,160,227,105,84,459,976,portage park,141.65,141.5834721831481,141.65
15,2014,570,221,159,242,222,186,73,63,445,816,portage park,153.54166669999995,206.67376054801497,120.03333329999998
15,2015,572,209,155,251,229,196,79,87,475,810,portage park,161.4916667,213.5555256961954,120.03333329999998
15,2016,546,82,185,228,266,214,69,85,434,750,portage park,178.56666669999996,239.15911026432804,178.56666669999996
15,2017,559,78,237,234,283,241,76,72,416,790,portage park,182.7166667,236.2287710296652,182.7166667
15,2018,560,45,144,202,253,253,76,81,397,811,portage park,172.56666669999996,207.63803192667473,200.7666667
16,2011,706,284,402,455,136,206,73,146,601,854,irving park,113.3090909,125.25655604220735,67.26666667
16,2012,647,205,425,417,127,178,72,97,516,860,irving park,137.1333333,149.2512641328787,67.26666667
16,2013,548,172,322,289,125,168,44,132,477,882,irving park,162.0166667,133.05238041478077,114.03333329999998
16,2014,515,127,190,174,156,137,50,83,411,718,irving park,177.6083333,194.90032326900035,197.925
16,2015,556,118,198,195,165,167,42,83,408,763,irving park,190.175,180.86795978934896,196.6
16,2016,536,63,201,212,238,186,54,108,413,655,irving park,201.4333333,200.00730485124149,201.4333333
16,2017,467,29,194,209,245,164,57,112,395,808,irving park,208.75,239.3961016501991,210.6
16,2018,506,40,141,209,195,165,43,95,375,779,irving park,196.6,191.9378592301793,196.6
17,2011,309,82,112,256,95,147,46,33,345,474,dunning,119.4818182,126.32844928377669,37.75833333
17,2012,275,74,141,205,95,105,41,36,288,451,dunning,135.7166667,140.93876394256876,160.87916669999996
17,2013,291,96,113,208,86,105,39,28,247,402,dunning,149.5166667,123.16385934668067,53.7
17,2014,296,84,65,134,107,94,47,20,205,297,dunning,159.95,125.93899080430417,195.8
17,2015,282,73,80,130,129,100,39,30,259,311,dunning,177.1166667,140.79887316487583,195.8
17,2016,279,40,76,197,141,129,56,53,243,328,dunning,183.65,136.14289333332562,183.65
17,2017,297,22,62,121,141,104,37,29,210,297,dunning,182.8166667,142.29308511939342,217.325
17,2018,305,19,70,141,120,115,34,22,189,292,dunning,186.5666667,130.4680045223078,217.325
19,2011,1086,549,588,723,183,382,133,290,863,1196,belmont cragin,61.90909091,61.607371070086785,61.90909091
19,2012,1128,512,492,463,205,389,118,204,805,1213,belmont cragin,59.4,47.84151122528344,67.26666667
19,2013,1023,402,388,459,235,320,82,163,698,1169,belmont cragin,94.66666667,118.95013839985693,67.26666667
19,2014,940,362,266,305,256,339,95,148,608,904,belmont cragin,89.68333333,118.83084924680513,120.03333329999998
19,2015,977,368,262,258,230,372,97,150,567,809,belmont cragin,120.03333329999998,76.64821668606525,120.03333329999998
19,2016,920,140,259,329,302,355,95,188,585,950,belmont cragin,127.9166667,167.18361727007067,213.2333333
19,2017,851,121,410,328,322,337,88,172,528,855,belmont cragin,133.4833333,133.48192581273833,133.4833333
19,2018,891,146,233,270,289,331,81,156,505,809,belmont cragin,152.6333333,154.42279748416257,120.03333329999998
20,2011,422,194,166,223,58,127,28,80,245,265,hermosa,79.73181818,101.8098517161881,55.48333333
20,2012,370,178,199,176,62,129,24,58,227,330,hermosa,96.98333333,86.23340289369223,55.48333333
20,2013,378,165,120,132,66,130,25,55,230,369,hermosa,108.325,96.72609010189187,55.48333333
20,2014,327,159,115,113,75,122,24,47,210,311,hermosa,127.55,98.47217975739402,54.45833333
20,2015,329,112,124,99,87,105,27,46,236,314,hermosa,148.9708333,109.77557359635755,160.87916669999996
20,2016,285,60,126,115,80,103,21,54,208,265,hermosa,160.87916669999996,106.13207428013736,160.87916669999996
20,2017,281,29,120,105,82,105,27,57,158,305,hermosa,163.6541667,106.99566095538755,80.3
20,2018,286,52,89,72,87,107,16,46,173,255,hermosa,154.93333330000004,109.88425260726687,53.7
21,2011,499,225,400,338,117,166,55,105,386,703,avondale,91.72727273,93.00685609859572,91.72727273
21,2012,516,171,332,337,134,183,68,113,383,701,avondale,121.175,119.80144552147173,114.03333329999998
21,2013,418,96,227,219,135,157,31,111,324,675,avondale,157.8916667,113.85247043626366,196.6
21,2014,387,88,132,163,135,116,48,75,332,633,avondale,172.94166669999996,169.61699501345646,197.925
21,2015,368,92,186,118,141,125,27,89,258,636,avondale,187.4916667,132.3287195992736,196.6
21,2016,364,29,175,152,180,141,48,84,313,601,avondale,210.6,176.12125431777457,210.6
21,2017,351,23,123,146,206,135,37,109,311,673,avondale,219.3083333,176.55902417391115,210.6
21,2018,361,20,141,152,177,158,45,98,280,669,avondale,218.9333333,144.84009920233,210.6
22,2011,1095,301,643,774,217,327,109,264,900,2089,logan square,131.1545455,131.18542624781475,131.1545455
22,2012,989,339,625,683,207,306,127,231,751,1974,logan square,168.9083333,103.25074759648048,131.1545455
22,2013,879,230,396,522,221,278,110,207,670,1817,logan square,200.6916667,120.33038033939299,67.26666667
22,2014,836,177,274,365,243,257,78,157,612,1609,logan square,217.8916667,209.44308719276086,67.26666667
22,2015,687,146,266,291,284,232,96,159,580,1624,logan square,228.3166667,331.1830334838152,141.65
22,2016,700,94,323,360,419,281,121,214,653,1867,logan square,247.1666667,481.1610652045776,213.2333333
22,2017,663,60,256,320,396,302,87,262,525,1799,logan square,257.075,77.9949740996082,213.2333333
22,2018,701,66,207,299,381,295,93,148,560,1731,logan square,251.9333333,330.5973375783498,213.2333333
23,2011,2253,2370,636,582,182,713,173,399,981,1505,humboldt park,54.73636364,-343.0306942659234,14.56363636
23,2012,2015,2705,623,585,209,632,179,447,1014,1573,humboldt park,80.8,-309.97193123739345,14.56363636
23,2013,1827,2864,343,433,192,552,165,379,814,1455,humboldt park,98.69166667,-618.9991433162512,16.22727273
23,2014,1694,2544,330,287,293,532,153,318,712,1102,humboldt park,136.675,-391.405875007288,176.3
23,2015,1702,1642,324,287,285,561,135,310,756,1035,humboldt park,149.05,-75.49764889008732,176.3
23,2016,1679,1013,406,328,290,606,132,410,835,1275,humboldt park,158.3916667,127.34963037089544,158.3916667
23,2017,1567,1147,390,324,330,659,152,401,808,1210,humboldt park,183.45,183.32312103976363,183.45
23,2018,1620,1707,278,273,258,618,143,342,620,1051,humboldt park,176.3,176.0472557291352,176.3
24,2011,1329,520,633,919,338,524,176,372,1317,3280,west town,201.5363636,-149.15540555115223,220.5272727
24,2012,1251,485,640,892,313,461,219,385,1171,3162,west town,229.5666667,-7.433492145108929,220.5272727
24,2013,1100,289,527,782,330,358,128,313,954,2875,west town,255.75,-113.00711605961335,220.5272727
