community,year,BATTERY,ASSAULT,CRIM SEXUAL ASSAULT,BURGLARY,ROBBERY,WEAPONS VIOLATION,CRIMINAL TRESPASS,HOMICIDE,DECEPTIVE PRACTICE,KIDNAPPING,MOTOR VEHICLE THEFT,THEFT,NARCOTICS,OFFENSE INVOLVING CHILDREN,SEX OFFENSE,PROSTITUTION,CRIMINAL DAMAGE,name,change_nx_yr
40,2017,32,26,6,-40,-8,14,-7,1,-2,2,18,-8,-47,10,0,2,11,washington park,2.9750000000000014
40,2018,-35,26,-4,-38,-63,10,3,-2,-7,-3,-15,38,4,-3,-2,2,131,washington park,-1.291666669999998
41,2012,-8,19,7,-32,-4,1,4,-1,1,-1,-36,-79,-71,13,-4,0,6,hyde park,4.312121199999979
41,2013,-34,-26,0,7,-23,0,6,2,-21,-1,-13,-46,-9,-16,-5,1,-73,hyde park,-1.7666666999999734
41,2014,-19,-34,-6,-31,1,-1,-25,1,37,0,-18,-118,-17,-3,6,-1,-14,hyde park,10.041666699999979
41,2015,22,19,6,-25,14,-1,7,-3,1,0,25,-14,-2,5,3,0,21,hyde park,7.224999999999994
41,2016,-26,-6,-6,80,2,2,10,2,51,0,-14,85,-6,-2,-5,0,59,hyde park,17.683333300000015
41,2017,41,24,15,-63,4,0,-19,-1,-7,0,-9,51,-2,4,0,0,-81,hyde park,2.75
41,2018,4,6,-2,0,13,1,10,3,16,1,0,38,3,2,0,0,153,hyde park,9.833333300000021
42,2012,-20,17,-13,-72,4,-15,7,6,2,-8,-93,10,-93,-10,-11,35,21,woodlawn,4.119696970000007
42,2013,-112,-64,10,-23,5,-23,-69,-12,6,8,-29,-58,-228,0,-2,-26,-116,woodlawn,8.14166667
42,2014,-115,-16,-3,-40,-49,-11,-34,-4,54,-4,-17,-148,-141,-9,7,10,-47,woodlawn,0.5666666699999965
42,2015,-66,-39,-8,9,-5,17,-34,4,-25,-1,20,-66,-155,5,-3,-29,40,woodlawn,18.083333329999995
42,2016,-5,16,8,18,25,-35,7,1,19,2,11,10,-109,0,4,-6,-34,woodlawn,24.5
42,2017,48,52,0,19,10,27,-11,5,-16,-1,-8,23,-24,6,-9,-1,88,woodlawn,21.141666700000016
42,2018,-70,-29,10,-142,-79,5,13,-3,10,2,-17,-52,47,2,1,-1,-66,woodlawn,14.683333300000001
43,2012,-140,41,-15,-230,21,9,17,3,10,0,-230,-2,-44,-17,3,36,148,south shore,-2.88181818
43,2013,-210,-82,-3,-193,-153,-8,-41,7,8,-1,-57,-70,-200,19,-6,-42,-37,south shore,4.2916666700000015
43,2014,-168,-63,13,-356,-72,-11,32,-11,88,0,-63,-332,-99,-3,7,-20,-274,south shore,2.349999999999998
43,2015,35,2,-10,56,-38,-17,-64,3,41,2,-10,-28,-191,4,-2,-1,33,south shore,7.8916666599999985
43,2016,-69,91,2,-161,119,3,-15,5,-47,-5,38,-210,-391,-24,-3,-20,-55,south shore,11.350000000000001
43,2017,166,37,10,-18,5,63,29,10,63,5,12,72,-27,22,-1,2,14,south shore,7.408333339999999
43,2018,-131,16,-6,-56,-170,4,13,-8,-38,-2,-24,146,97,-4,8,-3,64,south shore,3.5083333299999993
44,2012,44,10,0,-179,53,30,10,-2,89,-1,-166,72,-31,8,-6,-21,78,chatham,4.788636359999998
44,2013,33,11,-13,41,-63,-26,-13,-2,54,-3,-48,20,-12,-8,1,15,-74,chatham,4.341666670000002
44,2014,-153,-62,1,-78,-122,11,4,1,-41,5,-68,-123,-174,1,-3,-23,-30,chatham,2.033333329999998
44,2015,103,40,-10,-26,-12,2,-39,9,-25,0,-46,-178,-94,-4,7,16,-45,chatham,5.966666670000002
44,2016,58,27,3,25,44,-39,33,-4,-1,4,67,22,-158,14,-2,-22,144,chatham,12.375000000000007
44,2017,-54,69,17,-62,-24,46,73,-5,18,-8,-4,128,-57,3,0,0,-31,chatham,3.583333329999988
44,2018,60,20,-3,-62,-53,59,-46,1,-19,-3,-46,97,85,-10,4,0,22,chatham,3.2416666700000007
45,2012,-7,-22,-1,-28,-21,4,-16,-3,7,0,-29,-25,4,-4,0,0,3,avalon park,0.821969689999996
45,2013,-46,-2,-1,-5,-34,7,4,5,-6,-2,-13,-77,11,3,-3,2,-16,avalon park,8.975000000000001
45,2014,-8,-16,6,-51,9,-11,7,-4,2,1,-15,-48,27,-1,1,-2,-30,avalon park,7.100000000000001
45,2015,-12,12,-3,13,-25,10,-6,1,-2,0,-2,-97,-27,4,-1,0,13,avalon park,11.391666669999992
45,2016,3,-3,-2,0,0,3,2,4,10,0,-6,-33,-38,-1,0,0,-2,avalon park,5.166666670000012
45,2017,4,-3,0,-11,0,-8,2,-2,-5,0,5,44,-38,-2,7,0,-7,avalon park,6.224999999999994
45,2018,-29,2,0,-19,-28,15,-1,0,-15,-1,-11,-43,14,0,-2,0,4,avalon park,3.6833333299999964
46,2012,-70,21,-12,-66,-10,-6,-32,10,28,-4,-77,-99,-38,-1,-1,6,128,south chicago,0.7143939400000008
46,2013,-168,-131,14,-42,-33,-46,-6,0,10,1,-26,-95,-69,6,2,1,-157,south chicago,1.2083333299999985
46,2014,-139,-20,-3,-233,-68,28,23,0,1,-3,-63,-116,101,3,-5,-3,-132,south chicago,6.43333333
46,2015,61,-22,-4,-1,-5,-13,4,-2,6,5,4,-21,-216,6,-5,-12,14,south chicago,14.075
46,2016,-37,98,2,-6,43,-19,-21,7,19,-1,21,-62,-226,-7,2,-3,12,south chicago,-4.625
46,2017,-44,-92,1,-61,-47,32,1,1,-5,-2,20,11,-49,-1,0,2,5,south chicago,17.99166667
46,2018,-45,17,3,7,-29,17,8,-14,-31,3,-7,-52,9,5,2,-3,-97,south chicago,-5.091666669999995
47,2012,-6,5,1,31,-2,6,2,0,9,-1,-7,30,-2,-2,1,-1,16,burnside,-4.437121219999998
47,2013,-6,-16,-1,-25,4,-4,1,0,-3,1,-4,9,-4,0,1,0,-18,burnside,7.658333339999999
47,2014,-5,7,0,-35,-1,-1,-4,2,1,-1,-9,-22,19,-1,-2,0,-11,burnside,7.691666659999999
47,2015,-5,4,1,-5,0,5,6,0,10,0,11,-23,-38,1,1,0,12,burnside,8.25
47,2016,17,3,3,4,-4,-4,-3,-3,-1,0,-7,-4,-5,-1,-1,0,18,burnside,-3.908333329999998
47,2017,-5,-1,-2,3,-6,20,-5,1,-5,0,-2,-15,4,0,0,0,-19,burnside,7.225000000000001
47,2018,-14,1,-1,-8,17,-2,4,0,-3,0,-1,24,11,-1,0,0,-4,burnside,45.77499999999999
48,2012,-24,-14,3,-109,15,5,-9,4,-17,-2,-55,17,-39,-11,-1,0,-39,calumet heights,0.9090909100000033
48,2013,8,9,4,-42,-45,-9,0,-6,-4,1,-18,-160,-6,9,0,0,-65,calumet heights,5.041666669999998
48,2014,-25,-2,-5,-34,-14,-4,-2,1,12,-1,5,2,29,2,-1,0,-1,calumet heights,6.541666660000004
48,2015,-3,20,2,22,1,-2,0,1,6,2,-28,-117,-20,-2,6,0,13,calumet heights,14.94166666999999
48,2016,-6,-5,-4,-5,-1,-9,-11,-1,30,-1,20,-12,-41,3,-8,0,-24,calumet heights,-0.6083333299999936
48,2017,-23,-7,1,-7,6,12,15,2,-34,-1,1,-28,-1,-10,6,0,26,calumet heights,13.724999999999994
48,2018,52,36,4,-20,-25,24,-13,-2,5,-1,-2,-8,6,5,-3,0,-49,calumet heights,-6.341666669999995
49,2012,-165,-2,-8,-227,45,11,-51,1,93,-2,-280,-118,-176,-11,5,57,45,roseland,3.344696970000001
49,2013,-214,-36,4,-72,-33,-55,1,0,-80,0,-62,-64,-90,1,-5,-30,-127,roseland,2.2749999999999986
49,2014,-131,-41,-5,-113,-104,32,-5,-3,47,5,-87,-157,-197,1,2,-31,-36,roseland,0.9916666700000007
49,2015,-12,-7,0,35,-66,-3,-58,5,21,-4,23,-246,-283,5,-3,-27,-73,roseland,5.69166667
49,2016,63,52,12,-22,85,-17,53,14,-43,-2,19,23,-140,0,2,-26,85,roseland,6.566666660000003
49,2017,-49,9,-9,-49,-21,47,-14,4,49,4,-8,24,-80,11,-7,31,40,roseland,13.39166667
49,2018,17,39,-1,-106,-76,42,33,-14,-52,0,-28,5,37,-10,16,17,-34,roseland,3.0749999999999957
50,2012,5,-15,3,-19,1,11,9,1,1,2,10,-4,34,4,9,1,26,pullman,3.58712122
50,2013,-18,-24,-2,-16,6,-3,-9,-4,-2,-1,-28,44,-32,-2,-4,-1,-38,pullman,-2.166666669999998
50,2014,-7,41,1,-10,-6,-2,-3,1,17,1,-14,54,3,4,2,0,14,pullman,0.2749999999999986
50,2015,-16,-38,-3,-12,-15,-4,-3,-1,-10,2,3,-72,0,-2,-4,0,-12,pullman,2.458333330000002
50,2016,20,17,5,18,20,-2,-11,2,16,-2,9,31,-20,-1,2,0,43,pullman,21.674999999999997
50,2017,-66,-14,-4,-1,-11,23,1,-1,-26,1,4,15,1,4,-2,1,-50,pullman,-4.808333329999996
50,2018,61,12,1,-12,-5,-7,9,2,17,-2,-8,31,-5,6,1,-1,-14,pullman,-17.508333330000006
51,2012,-15,0,4,-13,-14,1,10,7,-16,2,-39,-56,-62,-8,-1,1,53,south deering,-2.4916666700000007
51,2013,-52,-41,-7,5,-2,-19,3,-6,16,-1,-9,66,-3,3,5,-1,-70,south deering,4.81666667
51,2014,-42,-25,4,-35,2,20,17,1,28,1,9,-3,69,4,4,2,-27,south deering,-5.074999999999999
51,2015,-7,34,0,-21,-23,-14,-13,-4,2,-2,-25,-85,-99,8,-7,0,-56,south deering,4.616666670000001
51,2016,-8,8,-7,-38,5,-5,-23,2,4,3,20,7,-45,-15,2,-2,55,south deering,24.508333329999996
51,2017,-6,-16,0,-9,-15,25,-19,4,-13,0,-5,-2,-4,13,-4,0,-55,south deering,2.200000000000003
51,2018,9,-11,7,-17,5,-6,18,-3,-3,-3,-4,37,-5,-12,4,0,-30,south deering,11.558333329999996
52,2012,-36,21,5,-44,8,-13,10,0,-3,1,23,11,-79,-16,2,0,-16,east side,0.8696969699999997
52,2013,-55,-56,-6,-50,-1,7,-7,1,-11,-1,-23,-10,31,34,1,0,-88,east side,9.058333340000004
52,2014,-11,-6,-1,4,-9,-6,5,1,10,0,-31,-31,5,-30,5,0,-23,east side,-5.6083333400000015
52,2015,13,24,0,-27,13,9,-3,-1,5,1,-13,-50,-36,7,-6,0,3,east side,17.199999999999996
52,2016,36,0,-3,3,-8,-3,2,1,13,-3,21,38,-68,4,4,0,-6,east side,11.916666669999998
52,2017,-32,-19,5,-11,-6,13,-3,7,-12,1,-6,-33,-8,-11,-4,0,1,east side,-2.583333329999988
52,2018,11,4,1,-8,12,0,7,-7,-25,1,18,-40,1,-4,1,0,-69,east side,1.1833333299999964
53,2012,-39,-47,-10,-69,-61,-4,-1,7,-27,-1,-108,132,-9,-21,6,30,92,west pullman,1.0060605999999979
53,2013,-23,-37,-11,-23,-37,-13,-20,4,-12,-1,-75,-126,-106,6,-3,15,-165,west pullman,1.19166667
53,2014,-157,-41,3,-132,7,-9,-10,-12,49,1,-74,-69,-177,5,5,-41,-79,west pullman,2.9250000000000007
53,2015,-43,-28,-6,-79,-26,4,-40,8,0,2,-7,-59,-135,0,-6,-17,39,west pullman,5.9583333299999985
53,2016,-10,32,14,4,2,-2,23,-5,20,-2,28,-110,-140,-2,3,-4,44,west pullman,3.5083333400000036
53,2017,35,39,-13,-35,0,19,20,0,-4,-1,-25,40,-22,0,-2,6,-12,west pullman,15.658333329999998
53,2018,-51,-6,1,33,-32,50,-1,16,3,0,-17,46,19,15,-6,0,-52,west pullman,-1.0083333299999993
55,2012,35,-17,3,-21,1,1,5,0,1,0,-14,-54,-7,-4,0,0,1,hegewisch,-4.584848490000013
55,2013,-27,-9,-2,-15,-2,-3,-1,0,5,0,16,17,9,3,2,0,-20,hegewisch,-6.316666659999996
55,2014,-13,10,-2,0,-2,1,-2,-1,11,0,-29,-7,-17,-3,-2,0,-34,hegewisch,16.058333329999996
55,2015,-5,-16,0,-15,4,-5,-12,0,10,0,-1,-46,-11,3,0,0,-7,hegewisch,1.3583333300000078
55,2016,36,17,0,13,-5,2,4,0,-6,0,5,5,-13,-2,2,0,24,hegewisch,23.958333370000005
55,2017,-14,5,2,10,5,5,3,1,-5,3,16,18,-2,14,-2,0,21,hegewisch,-2.8500000000000085
55,2018,4,-8,-1,20,1,11,-5,0,-7,-3,-21,-20,6,-10,2,0,-30,hegewisch,-10.941666699999999
56,2012,41,3,6,-85,13,6,-7,1,16,1,-4,32,24,-4,-3,-44,-73,garfield ridge,7.3477273000000025
56,2013,-75,-13,-8,-31,-4,-3,-13,1,-49,1,-11,-60,-30,2,4,-37,5,garfield ridge,19.599999999999994
56,2014,-36,-23,7,-39,-5,0,14,-1,18,-3,-22,-73,-45,10,-8,51,-40,garfield ridge,14.708333300000021
56,2015,3,30,2,-18,-10,6,-14,3,34,1,4,-11,-51,-16,2,-39,20,garfield ridge,3.6750000000000114
56,2016,35,1,-1,41,17,-11,9,-1,62,-1,37,100,-65,10,0,-9,22,garfield ridge,13.375
56,2017,16,-12,-7,-32,8,10,9,2,-22,0,17,-111,4,-4,2,-9,-68,garfield ridge,-2.0
56,2018,-31,2,5,-6,-25,4,-17,-3,-5,-1,-31,111,10,-2,-1,90,42,garfield ridge,19.43333339999998
57,2012,32,1,-3,-24,14,-6,-8,2,-1,5,-20,-17,8,7,0,-34,-36,archer heights,19.22878784999999
57,2013,-32,-1,-1,-24,-15,6,2,-1,5,-6,-7,105,-3,-7,2,-8,-24,archer heights,1.6833334000000235
57,2014,-35,-2,6,-19,-19,-1,2,-1,9,1,22,-98,-10,10,-1,3,-5,archer heights,5.125
57,2015,59,21,-3,-2,10,0,2,1,0,4,-59,-40,-12,-7,0,-6,-31,archer heights,1.5499999999999972
57,2016,-40,-9,-1,-8,-18,2,3,3,5,-5,17,-4,-10,-6,-1,-4,-29,archer heights,9.25
57,2017,1,-9,-2,29,5,-8,8,-1,15,3,-19,-35,-13,4,0,0,0,archer heights,17.266666600000008
57,2018,6,2,-2,-26,-2,3,-12,-2,-25,-2,-10,18,5,-1,5,4,13,archer heights,9.50833339999997
58,2012,-4,16,6,8,-9,-9,13,-3,15,0,-195,-40,-79,-20,-5,-72,-88,brighton park,1.376515150000003
58,2013,-102,-37,-20,-73,-35,-17,-6,-4,-6,-5,21,-48,63,-3,16,70,-113,brighton park,15.783333339999999
58,2014,41,-5,8,29,-21,14,5,-1,30,5,-131,-34,99,16,-11,-85,70,brighton park,11.166666660000004
58,2015,-15,-8,-5,-107,41,6,-20,3,2,-5,6,-10,-16,14,-8,51,-66,brighton park,7.816666669999989
58,2016,-15,52,7,58,45,-1,1,7,8,0,-16,-79,-149,-20,8,-34,26,brighton park,20.741666700000025
58,2017,-57,-21,-8,-67,-21,0,-1,11,-17,2,-62,-27,-59,-6,-5,-15,-65,brighton park,8.258333299999975
58,2018,-4,-6,8,-24,-37,19,-2,-18,12,-2,34,61,-20,6,-3,-7,-8,brighton park,8.341666700000019
59,2012,4,-25,2,-17,-4,0,-1,2,-4,-1,3,54,-50,-9,-1,1,-45,mckinley park,6.478787799999992
59,2013,-15,6,0,0,1,-10,-1,-1,13,0,-24,-9,10,-1,7,2,-39,mckinley park,-9.366666599999988
59,2014,-20,-9,-4,-19,3,-5,10,-1,-10,0,-38,-87,-8,1,-6,0,-11,mckinley park,12.691666599999976
59,2015,-17,16,3,-21,8,8,-10,0,3,1,13,6,19,0,-1,-1,16,mckinley park,14.48333340000002
59,2016,2,3,-3,20,-9,-1,-2,0,-4,-1,-5,-30,-38,2,-1,-2,10,mckinley park,14.716666599999996
59,2017,-21,6,3,11,15,8,12,3,17,-1,-8,-17,8,-2,-1,3,-21,mckinley park,12.733333399999992
59,2018,9,-6,-3,-1,-21,-1,-4,-3,-18,0,-7,-1,-42,1,5,-3,-23,mckinley park,19.841666600000025
60,2012,-48,-35,8,-26,-20,14,-2,1,-1,-3,-1,112,-51,1,3,3,-74,bridgeport,6.8045455000000175
60,2013,-37,-12,-3,-37,-11,-18,-6,-1,10,-1,-10,-79,27,-1,3,1,-65,bridgeport,14.375
60,2014,-28,10,-1,-2,8,4,-4,-1,16,3,-42,-6,-34,1,-1,1,-16,bridgeport,8.266666699999973
60,2015,-24,-4,4,-24,0,0,-7,1,-1,-3,21,-57,-13,-4,-9,-4,-39,bridgeport,13.341666600000025
60,2016,9,2,-6,-12,31,8,6,-1,51,1,-38,23,-7,-9,3,2,12,bridgeport,10.233333399999992
60,2017,-42,-19,2,20,-18,0,-17,0,-30,2,3,-17,-12,6,8,-3,-63,bridgeport,15.924999999999983
60,2018,23,19,5,-16,-20,5,16,-2,46,-2,2,-67,-6,-2,-10,1,27,bridgeport,-0.4916666999999677
61,2012,-98,8,-10,-119,-7,32,-58,10,0,-3,-155,34,-251,-14,-7,-73,-96,new city,0.4053030299999989
61,2013,-175,-75,9,-164,-42,-54,4,-11,-4,3,-120,78,-192,2,2,-20,-91,new city,6.216666660000001
61,2014,-103,-35,-4,-26,35,-25,-19,2,38,-2,11,-172,-276,-4,-6,-22,-25,new city,4.091666669999999
61,2015,-81,-11,-6,-4,-30,21,-28,2,4,0,-35,-187,45,-12,2,32,-62,new city,9.89166667
61,2016,42,65,16,47,78,2,5,25,3,-1,32,-97,-274,17,10,-31,41,new city,8.791666660000004
61,2017,-57,-23,-11,-111,-49,31,14,-24,-19,-1,10,68,-82,2,-9,0,-53,new city,16.424999999999997
61,2018,-116,25,0,-8,-49,-16,-19,5,15,1,-61,-28,-36,-3,10,-1,-56,new city,-1.4249999999999972
62,2012,-6,-2,-2,-50,-5,-2,5,1,10,-1,6,-33,5,3,0,0,-3,west elsdon,1.3568181800000048
62,2013,-26,-2,-1,-4,-19,-1,1,-1,-1,0,-5,62,-9,-7,1,0,-49,west elsdon,16.5
62,2014,-32,-16,1,-25,-3,0,-4,0,27,0,-25,-134,-29,-2,-1,0,-35,west elsdon,2.7749999999999915
62,2015,10,9,2,-21,9,2,3,3,-8,4,-4,11,3,3,1,1,-12,west elsdon,11.733333299999984
62,2016,9,-7,-4,57,11,2,7,3,1,-3,3,5,-33,2,-5,-1,18,west elsdon,8.083333400000015
62,2017,-7,3,5,-42,3,-4,-12,-5,0,-1,-8,-2,2,-5,4,0,-5,west elsdon,11.808333300000015
62,2018,0,6,-4,9,-36,11,0,1,-3,1,-14,48,5,9,-4,0,-44,west elsdon,-2.2750000000000057
63,2012,-63,-20,3,-42,26,-19,18,0,12,-2,-65,-42,-130,-21,8,-8,-88,gage park,5.65227273
63,2013,-53,-22,-1,-30,-33,-11,-20,2,-5,2,-129,2,-30,1,-2,-10,-60,gage park,7.691666670000004
63,2014,-42,9,-10,-9,-28,-3,0,-4,45,1,-55,-68,-1,-3,-11,3,-16,gage park,13.425000000000004
63,2015,7,7,4,-23,37,2,-13,3,-31,-1,-13,-88,-60,11,3,4,-65,gage park,9.28333332999999
63,2016,22,15,5,19,-7,1,-14,6,15,-2,3,0,-95,2,-6,-8,56,gage park,9.408333330000005
63,2017,-32,-17,-2,-22,50,7,15,-3,-5,2,10,15,-21,-11,4,1,-67,gage park,16.849999969999985
63,2018,-49,4,1,-37,-81,24,3,-8,8,3,-33,-31,6,-5,-5,-1,-20,gage park,0.25
64,2012,3,-27,0,-58,5,-2,-1,0,18,0,4,9,-6,-9,-6,0,-6,clearing,6.324242399999989
64,2013,-54,-13,4,-4,-7,-2,11,1,7,0,3,-31,-8,14,1,0,-35,clearing,15.291666700000007
64,2014,-40,3,-5,-33,-2,-1,-14,1,7,0,-6,16,7,-3,2,0,-64,clearing,7.800000000000011
64,2015,9,-9,8,9,13,3,-2,-2,-6,2,8,-67,-15,3,-1,0,15,clearing,10.349999999999994
64,2016,0,4,-5,14,-1,-2,16,1,21,-2,4,21,-18,-9,-1,0,-24,clearing,15.141666700000002
64,2017,5,-3,0,-24,-10,0,-13,0,-27,-1,-13,-17,6,-1,-4,0,43,clearing,6.816666600000019
64,2018,9,9,-2,-11,0,-1,6,0,24,0,12,35,-6,-5,7,0,-30,clearing,-1.9333333000000152
65,2012,24,-16,-4,-111,-16,0,2,1,15,-5,-9,12,-67,16,-1,0,-86,west lawn,6.293939399999999
65,2013,-54,-26,5,2,7,9,9,1,-10,2,-63,-29,21,-22,1,0,-25,west lawn,12.87500003000001
65,2014,-57,26,-5,-46,-45,-8,-4,-1,13,1,-2,-16,7,-1,2,9,-23,west lawn,9.458333299999993
65,2015,62,-14,-1,-10,9,-4,-2,-1,8,-3,30,-97,-31,17,-7,-9,2,west lawn,7.674999999999997
65,2016,26,10,1,34,36,3,7,5,28,-1,-18,-99,-26,-6,-1,0,74,west lawn,12.449999999999989
65,2017,-49,2,2,-53,-14,8,0,-4,-22,5,-6,-58,12,3,-1,0,-69,west lawn,4.21666669999999
65,2018,29,17,2,29,-37,6,6,-1,-25,-2,-3,-9,-18,-10,3,0,-76,west lawn,-1.7083333999999581
66,2012,-205,-73,12,-277,-35,15,36,4,61,-5,-153,-105,-381,-7,-3,-11,-118,chicago lawn,1.9439393999999979
66,2013,-147,-53,-8,-140,-67,-62,-68,-14,-48,8,-126,-101,-320,7,-1,-22,-129,chicago lawn,7.583333330000002
66,2014,-203,-84,11,-36,-94,8,-34,11,91,-9,-40,-185,-157,-18,-3,-12,-73,chicago lawn,8.274999999999999
66,2015,10,12,-14,-105,-10,-12,-23,-9,-2,-2,42,-179,-35,10,-2,-6,-18,chicago lawn,9.983333329999994
66,2016,21,50,-8,103,43,-10,-14,9,-13,2,-19,-3,-375,-8,4,-15,100,chicago lawn,2.408333340000013
66,2017,-54,3,8,-94,-8,38,14,0,23,-3,-15,29,-16,-4,-5,0,-39,chicago lawn,10.0
66,2018,19,118,-13,-94,0,-15,-32,0,-29,5,20,79,10,4,-2,0,-89,chicago lawn,7.8999999999999915
67,2012,-14,-92,5,-205,23,-39,-51,-9,7,1,-68,-114,-19,5,-5,50,-236,west englewood,-0.04621211999999986
67,2013,-224,-59,-22,-166,16,-52,-8,1,-5,1,-31,-1,-278,-11,-1,-95,-96,west englewood,0.9166666699999997
67,2014,-257,-7,11,-140,-162,33,-80,7,35,0,-84,-432,-71,5,-1,-27,-146,west englewood,-0.19166667000000004
67,2015,-73,-76,-4,-77,-41,-18,-52,-9,40,-4,16,-201,141,20,10,48,36,west englewood,5.758333339999998
67,2016,-19,75,2,104,92,16,30,18,-12,-2,34,-13,-649,-15,-8,-45,31,west englewood,4.066666660000003
67,2017,-29,-1,2,-147,-60,59,-7,-19,6,-1,-61,51,-12,9,3,75,88,west englewood,7.091666669999999
67,2018,36,107,-11,-41,-29,62,55,5,-26,2,21,134,-49,12,-5,-79,-129,west englewood,0.11666667000000075
68,2012,-26,-51,-7,-64,-78,39,-13,-12,40,-7,-56,-14,40,-11,11,25,-60,englewood,0.8492424239999998
68,2013,-75,-23,-3,-258,-15,-43,-1,10,-11,6,-49,-23,-205,9,-12,-99,-122,englewood,0.2916666670000012
68,2014,-297,-29,-2,-18,-48,3,-104,-8,80,-2,-62,-283,-57,-11,-2,-1,-164,englewood,1.5916666700000004
68,2015,-90,-18,-15,-26,-68,16,-25,4,-24,0,39,-175,99,-1,6,36,86,englewood,1.3499999999999996
68,2016,-43,49,-4,-47,18,-20,10,28,-12,1,-40,-134,-403,-4,-6,-102,-50,englewood,4.28333333
68,2017,-97,-30,6,-75,-48,105,-26,-21,-36,1,-11,25,-168,7,6,58,-10,englewood,4.7083333299999985
68,2018,84,20,4,-16,-58,29,-16,4,10,-4,1,72,94,3,-1,-47,12,englewood,2.083333340000003
69,2012,4,-57,-6,-126,12,11,-49,1,130,-4,-166,95,-27,-11,5,7,53,greater grand crossing,2.0522727299999985
69,2013,-154,-39,-1,-100,-109,-52,-21,-6,-40,2,-94,-22,-252,20,-1,-5,-142,greater grand crossing,6.9166666700000015
69,2014,-219,-29,-11,-62,-88,-3,-77,-2,35,2,-77,-237,-198,-4,5,-9,-59,greater grand crossing,2.3833333299999993
69,2015,110,37,12,20,-18,12,-40,6,-59,-2,15,-17,-167,-4,2,2,112,greater grand crossing,0.5916666700000022
69,2016,14,14,-4,-28,82,-28,17,15,-4,0,-14,-30,-190,38,-10,-3,38,greater grand crossing,13.2
69,2017,-39,75,8,-25,12,60,-33,-11,-35,-3,23,-62,-32,-27,13,-1,-49,greater grand crossing,5.408333329999998
69,2018,-40,-4,-6,-53,-151,73,-16,-6,-10,2,-13,-13,79,28,-16,0,-24,greater grand crossing,-4.024999999999999
70,2012,-62,31,-7,-26,-3,4,-4,2,11,-3,-30,-40,-78,-3,-1,-3,-61,ashburn,5.653787879999996
70,2013,-31,-44,4,-3,14,-3,-6,-5,-17,-1,-3,41,13,6,4,-1,65,ashburn,9.724999969999999
70,2014,-13,0,2,-79,-59,-13,-1,5,79,4,-33,-68,3,1,-11,-1,-70,ashburn,10.0
70,2015,29,1,-1,-70,3,3,-1,-1,-39,-4,3,-109,-38,-5,1,0,-43,ashburn,9.633333400000026
70,2016,40,37,2,53,44,-6,-9,4,8,5,159,102,-76,-2,-1,0,65,ashburn,11.51666659999998
70,2017,22,-30,-4,-7,-14,16,-2,-4,24,-6,-87,-94,-11,8,3,0,-7,ashburn,12.43333339999998
70,2018,2,38,0,-65,-11,4,17,-3,-8,2,-81,17,7,2,8,0,-56,ashburn,-7.449999999999989
71,2012,49,-13,8,-217,-46,3,-9,3,-17,-10,-146,-118,-158,-12,-11,-97,55,auburn gresham,-1.554545449999999
71,2013,-146,-56,4,-231,49,-22,-69,0,7,5,-95,129,-276,4,10,45,-135,auburn gresham,3.166666669999998
71,2014,-42,-1,-13,7,-98,-9,-9,-2,121,-3,-16,-195,-258,4,-4,-32,-79,auburn gresham,6.325000000000003
71,2015,-102,54,2,84,-9,21,14,-2,-23,2,20,-290,-80,-13,-6,-4,116,auburn gresham,8.98333333
71,2016,46,2,4,-47,13,-30,-36,16,5,2,-29,80,-375,31,0,-15,101,auburn gresham,2.6499999999999986
71,2017,-45,70,-7,-164,-34,127,50,0,-41,-4,10,53,38,-15,2,1,-129,auburn gresham,9.0
71,2018,-26,7,4,-22,-45,55,-41,-5,35,1,-55,-19,67,-5,-4,-6,-45,auburn gresham,-0.9583333300000021
72,2012,-6,14,4,-29,1,0,-10,1,-6,-3,26,3,-11,-7,-3,0,4,beverly,-1.7121212000000128
72,2013,-4,0,-1,-47,13,-3,-5,-1,-8,2,-40,-63,2,2,2,1,-56,beverly,20.666666700000007
72,2014,-28,-17,0,11,-32,1,-1,-1,30,1,-2,-45,-2,1,3,-1,4,beverly,-0.924999999999983
72,2015,2,8,-1,-15,-4,-1,17,0,6,-1,-1,70,-13,1,-5,0,32,beverly,1.2750000000000057
72,2016,9,-5,0,36,2,5,-11,0,2,-1,23,-79,4,0,5,0,-10,beverly,2.8666666999999677
72,2017,-12,7,0,-34,2,-6,2,0,-11,0,-6,-6,-8,-1,-3,0,-7,beverly,4.791666600000042
72,2018,16,-6,3,-2,-15,1,6,3,4,0,-2,4,2,0,-2,0,-6,beverly,-13.841666600000025
73,2012,15,16,-1,-124,53,-20,8,0,12,0,-50,-20,-14,3,-2,0,-62,washington heights,5.496590909999995
73,2013,-73,8,6,-65,5,17,-11,3,13,2,-76,114,22,7,1,2,-29,washington heights,9.745833330000004
73,2014,-99,-43,-9,-49,-100,-20,29,-2,19,-1,15,-187,-115,-1,1,0,-103,washington heights,5.25833334
73,2015,42,27,10,8,-22,-13,-25,3,50,3,-5,-174,-49,-4,1,-1,78,washington heights,7.6416666599999985
73,2016,-17,-34,-14,2,45,13,15,6,-37,2,20,74,-118,23,-8,-1,55,washington heights,17.754166670000004
73,2017,17,-7,6,15,-13,9,-13,2,-24,-3,-9,44,-62,-7,5,1,-43,washington heights,-5.508333329999999
