community,year,BATTERY,HOMICIDE,OFFENSE INVOLVING CHILDREN,NARCOTICS,PROSTITUTION,INTERFERENCE WITH PUBLIC OFFICER,MOTOR VEHICLE THEFT,BURGLARY,GAMBLING,HUMAN TRAFFICKING,DECEPTIVE PRACTICE,CRIM SEXUAL ASSAULT,ARSON,WEAPONS VIOLATION,NON-CRIMINAL,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,NON-CRIMINAL (SUBJECT SPECIFIED),ASSAULT,CRIMINAL TRESPASS,ROBBERY,KIDNAPPING,OTHER NARCOTIC VIOLATION,NON - CRIMINAL,STALKING,OBSCENITY,LIQUOR LAW VIOLATION,OTHER OFFENSE,SEX OFFENSE,CRIMINAL DAMAGE,THEFT,INTIMIDATION,CONCEALED CARRY LICENSE VIOLATION,name,price_nx_yr
20,2017,281,3,24,29,0,2,120,105,0,0,82,3,9,28,0,0,13,0,105,27,57,0,0,0,1,0,2,139,12,158,305,0,0,hermosa,163.6541667
20,2018,286,2,18,52,0,5,89,72,0,0,87,7,4,47,0,0,7,0,107,16,46,2,0,0,0,1,0,115,6,173,255,0,0,hermosa,154.93333330000002
21,2011,499,3,36,225,2,3,400,338,0,0,117,18,6,22,0,0,18,0,166,55,105,2,0,0,2,1,19,233,12,386,703,2,0,avondale,91.72727273
21,2012,516,2,30,171,4,7,332,337,1,0,134,17,12,15,0,0,27,0,183,68,113,4,0,0,3,0,9,193,12,383,701,2,0,avondale,121.175
21,2013,418,4,21,96,1,9,227,219,1,0,135,10,5,11,0,0,23,0,157,31,111,0,0,0,2,0,5,181,7,324,675,1,0,avondale,157.8916667
21,2014,387,0,35,88,3,4,132,163,0,0,135,15,6,12,0,0,15,0,116,48,75,2,0,0,1,2,8,144,14,332,633,0,0,avondale,172.94166669999998
21,2015,368,2,22,92,1,3,186,118,1,0,141,11,9,9,0,0,13,0,125,27,89,3,0,0,3,0,2,127,16,258,636,1,0,avondale,187.4916667
21,2016,364,3,16,29,1,2,175,152,0,0,180,12,6,17,0,0,6,0,141,48,84,1,0,0,0,1,3,123,9,313,601,0,0,avondale,210.6
21,2017,351,2,22,23,0,1,123,146,0,0,206,18,8,13,0,0,5,0,135,37,109,0,0,0,2,3,0,145,14,311,673,0,1,avondale,219.30833330000002
21,2018,361,6,17,20,1,5,141,152,0,0,177,16,4,27,0,0,3,0,158,45,98,1,0,0,0,0,1,131,15,280,669,4,0,avondale,218.93333330000002
22,2011,1095,2,59,301,6,11,643,774,1,0,217,28,12,40,0,0,41,0,327,109,264,7,1,0,6,0,21,352,23,900,2089,4,0,logan square,131.1545455
22,2012,989,2,39,339,6,19,625,683,0,0,207,31,12,34,0,1,52,0,306,127,231,5,0,0,6,0,20,319,19,751,1974,2,0,logan square,168.9083333
22,2013,879,4,61,230,2,18,396,522,0,0,221,22,13,21,0,0,35,0,278,110,207,0,0,0,6,0,11,313,19,670,1817,3,0,logan square,200.69166669999998
22,2014,836,7,44,177,1,12,274,365,1,0,243,25,7,27,0,0,43,0,257,78,157,3,0,0,4,0,12,279,28,612,1609,0,0,logan square,217.8916667
22,2015,687,8,48,146,3,11,266,291,0,0,284,31,10,24,1,0,23,0,232,96,159,2,0,1,5,0,10,239,23,580,1624,1,0,logan square,228.31666669999998
22,2016,700,5,43,94,0,5,323,360,0,0,419,30,15,29,1,0,25,0,281,121,214,4,0,0,0,0,3,258,17,653,1867,2,0,logan square,247.16666669999998
22,2017,663,5,22,60,0,2,256,320,0,0,396,26,7,35,1,0,16,0,302,87,262,2,0,0,0,2,6,249,25,525,1799,1,0,logan square,257.075
22,2018,701,4,30,66,0,7,207,299,0,0,381,24,7,59,0,1,18,0,295,93,148,3,0,0,3,3,6,242,23,560,1731,2,0,logan square,251.93333330000002
23,2011,2253,21,94,2370,257,53,636,582,40,0,182,50,33,134,0,0,71,0,713,173,399,4,0,0,4,1,17,548,28,981,1505,7,0,humboldt park,54.73636364
23,2012,2015,18,82,2705,190,72,623,585,55,0,209,35,26,144,0,0,58,0,632,179,447,15,0,0,4,3,14,490,24,1014,1573,4,0,humboldt park,80.8
23,2013,1827,14,78,2864,130,82,343,433,41,0,192,44,18,124,0,0,115,0,552,165,379,9,0,0,4,0,16,528,25,814,1455,5,0,humboldt park,98.69166667
23,2014,1694,26,97,2544,118,88,330,287,34,0,293,44,14,108,0,0,97,0,532,153,318,5,1,0,1,1,10,598,18,712,1102,1,1,humboldt park,136.675
23,2015,1702,18,80,1642,88,57,324,287,24,0,285,46,17,123,0,0,82,0,561,135,310,1,1,0,11,0,7,574,31,756,1035,3,0,humboldt park,149.05
23,2016,1679,29,82,1013,72,40,406,328,9,1,290,45,16,138,0,1,54,0,606,132,410,7,0,1,0,0,2,510,29,835,1275,8,0,humboldt park,158.3916667
23,2017,1567,30,84,1147,16,52,390,324,21,0,330,59,19,190,1,1,65,1,659,152,401,4,1,0,1,2,2,480,34,808,1210,5,0,humboldt park,183.45
23,2018,1620,21,61,1707,13,74,278,273,35,0,258,35,12,274,0,0,75,1,618,143,342,1,0,0,3,1,10,499,23,620,1051,0,1,humboldt park,176.3
24,2011,1329,3,38,520,35,14,633,919,4,0,338,28,10,57,0,0,46,0,524,176,372,2,0,0,7,1,51,400,32,1317,3280,7,0,west town,201.5363636
24,2012,1251,6,51,485,12,24,640,892,0,0,313,31,9,47,0,0,49,0,461,219,385,8,0,0,7,0,32,383,44,1171,3162,5,0,west town,229.56666669999998
24,2013,1100,8,33,289,9,13,527,782,3,0,330,30,9,31,0,0,60,0,358,128,313,4,0,1,4,0,27,304,20,954,2875,1,0,west town,255.75
24,2014,1005,5,46,177,11,9,322,685,0,0,402,30,8,17,0,0,27,0,339,154,260,1,0,0,4,1,21,299,21,839,2660,3,0,west town,268.84833330000004
24,2015,943,5,25,206,5,10,370,472,0,0,432,27,10,39,2,0,37,0,303,118,234,0,0,0,0,1,13,304,29,855,2641,3,0,west town,272.5416667
24,2016,982,10,23,89,4,11,423,560,0,0,525,32,4,27,2,0,20,0,395,184,387,2,0,0,12,2,9,271,23,1034,3213,2,0,west town,295.0283333
24,2017,963,7,43,76,2,7,442,652,0,1,626,49,7,49,0,0,18,0,440,173,425,1,0,0,1,0,14,309,21,890,3103,4,1,west town,299.0966667
24,2018,874,8,26,57,4,14,289,500,0,0,594,50,3,49,0,2,31,0,444,164,287,1,0,0,7,5,12,278,37,795,2772,4,1,west town,290.98
25,2011,4038,30,149,5472,239,131,816,1430,149,0,524,99,31,275,0,0,165,0,1256,434,1090,15,0,0,3,1,16,1243,58,1886,3166,6,0,austin,33.78181818
25,2012,4230,36,145,4614,332,120,826,1100,165,0,505,94,37,232,0,0,173,0,1262,333,973,20,0,0,4,2,25,1042,62,1744,3276,5,0,austin,42.59166667
25,2013,3997,31,128,4826,288,136,633,728,105,0,520,68,21,249,0,0,173,0,1140,353,745,16,0,0,8,2,12,1182,52,1571,3255,6,0,austin,51.46666667
25,2014,3649,37,143,4126,493,164,640,595,91,0,754,83,22,220,0,0,215,0,1147,465,758,16,1,0,8,0,10,1184,36,1422,2509,6,2,austin,56.95833333
25,2015,3564,50,154,3272,324,150,655,479,46,1,845,105,35,266,1,1,170,0,1096,354,771,7,1,1,9,5,5,1251,42,1542,2174,8,3,austin,63.70833333
25,2016,3682,88,152,1877,350,91,790,499,42,1,752,97,44,333,1,1,116,0,1236,317,856,4,0,0,4,1,3,1225,53,1820,2309,1,1,austin,78.60833333
25,2017,3346,82,125,1461,172,100,730,522,22,1,816,96,23,445,1,1,117,0,1198,265,831,10,0,0,4,4,10,1134,47,1668,2144,6,5,austin,93.91666667
25,2018,3376,56,145,1363,210,99,661,496,27,2,723,116,38,426,1,0,114,0,1224,312,780,10,0,0,8,4,10,1064,63,1418,2302,5,2,austin,103.1
26,2011,1273,15,29,1655,196,38,253,200,24,0,215,20,5,87,0,0,25,0,361,90,322,7,0,0,1,0,17,257,12,434,745,1,0,west garfield park,12.15454545
26,2012,1202,11,28,1660,237,39,278,284,13,0,451,29,16,69,0,1,26,0,333,90,318,2,0,0,0,0,3,249,12,483,841,1,0,west garfield park,11.05833333
26,2013,1115,15,38,2354,126,58,186,168,22,0,339,21,9,79,0,0,37,0,307,95,227,0,0,0,2,0,1,297,11,429,740,2,0,west garfield park,17.55
26,2014,1005,20,31,2196,186,78,138,136,31,0,274,26,6,78,0,0,66,0,294,108,243,1,1,0,0,1,6,298,11,376,604,4,1,west garfield park,16.58333333
26,2015,1033,15,34,2086,220,72,156,111,15,1,166,28,3,87,0,0,63,0,325,87,296,2,0,0,0,0,5,301,13,402,505,1,2,west garfield park,26.625
26,2016,1134,29,36,1416,171,54,213,132,6,1,173,39,8,130,0,1,53,0,329,97,351,3,0,1,4,1,8,281,14,504,587,4,2,west garfield park,26.675
26,2017,1117,14,31,991,142,51,215,134,18,0,186,26,10,147,0,0,37,0,401,156,310,5,0,0,1,1,4,278,14,496,583,0,0,west garfield park,37.54166667
26,2018,1129,26,36,1078,190,54,174,137,11,0,182,37,9,157,0,0,50,0,395,196,314,0,0,0,3,1,6,289,11,549,630,3,2,west garfield park,43.66666667
27,2011,1300,11,28,1336,89,21,368,299,35,0,130,22,11,68,0,0,34,0,414,147,292,6,0,0,3,1,6,276,13,522,975,8,0,east garfield park,21.49090909
27,2012,1253,8,25,1391,81,21,294,232,20,0,221,18,7,70,0,0,26,0,398,102,339,5,0,0,5,0,7,294,14,516,841,2,0,east garfield park,26.76666667
27,2013,1184,10,43,1700,67,41,239,189,38,0,196,23,6,76,0,0,59,0,403,125,247,6,0,0,6,1,2,351,12,470,786,1,0,east garfield park,31.925
27,2014,1180,10,34,1617,69,45,190,173,12,0,186,28,8,52,0,0,61,0,392,115,221,1,0,0,6,3,8,295,25,404,674,3,1,east garfield park,42.38333333
27,2015,1077,17,37,1497,12,54,162,146,11,0,159,32,5,78,0,0,88,0,390,110,226,0,0,1,1,1,3,300,14,442,581,1,3,east garfield park,55.50833333
27,2016,1204,29,37,754,2,30,215,121,14,0,164,27,8,135,0,0,50,0,433,110,227,2,0,0,2,1,2,328,17,496,633,1,0,east garfield park,73.04166667
27,2017,1144,21,40,647,8,42,200,129,24,0,167,27,8,112,0,0,33,0,378,191,246,3,0,0,2,1,5,306,13,430,578,5,1,east garfield park,77.29166667
27,2018,1169,22,38,602,0,39,171,128,24,0,134,24,10,156,0,0,39,1,436,116,293,4,0,0,3,2,4,291,16,478,703,2,2,east garfield park,75.1
28,2011,1304,10,52,554,35,15,558,411,19,0,457,39,1,33,0,1,95,0,491,339,385,4,0,0,3,1,15,515,33,857,3438,5,0,near west side,123.37727269999999
28,2012,1287,15,54,467,22,21,523,380,18,0,502,34,2,53,0,0,77,0,508,365,351,3,2,0,8,1,9,419,31,872,3391,2,0,near west side,139.8208333
28,2013,1140,5,106,469,16,20,394,264,13,0,572,35,1,41,0,0,72,0,455,394,298,5,0,0,8,1,12,419,37,669,3063,3,0,near west side,167.6708333
28,2014,1198,7,101,336,4,20,327,238,3,0,589,33,5,31,0,0,56,0,449,343,277,2,0,0,6,4,8,372,23,627,2837,4,2,near west side,182.6791667
28,2015,1132,11,58,329,13,6,329,284,1,3,664,43,1,28,0,0,44,0,470,270,276,1,0,0,5,2,7,440,26,803,2701,4,0,near west side,204.06666669999998
28,2016,1237,13,89,205,1,12,328,279,5,1,804,68,8,37,1,0,44,0,517,257,354,3,0,1,1,1,10,465,48,1012,3660,11,1,near west side,209.10416669999998
28,2017,1179,15,43,169,0,7,408,307,3,2,795,65,2,56,4,0,37,0,588,232,458,2,0,0,13,0,4,408,22,881,3343,7,2,near west side,219.87083330000002
28,2018,1283,9,51,173,1,14,365,281,2,0,855,65,7,61,2,0,30,0,656,282,344,2,0,0,7,2,11,443,38,808,3601,10,3,near west side,220.0333333
29,2011,2192,16,60,2105,25,17,492,518,71,0,154,53,20,135,0,0,69,0,596,155,467,2,0,0,3,2,6,502,30,906,1410,5,0,north lawndale,14.56363636
29,2012,2277,19,65,2344,34,29,371,528,87,0,182,43,18,151,0,0,83,0,649,122,447,4,0,0,8,0,7,500,21,1005,1393,4,0,north lawndale,16.33333333
29,2013,1965,16,60,2773,21,43,216,426,76,0,227,53,6,143,0,0,109,0,557,226,385,4,0,0,5,0,10,488,24,755,1208,3,0,north lawndale,19.7
29,2014,1834,11,80,2103,10,65,228,381,38,0,279,44,10,124,0,0,81,0,540,184,395,3,0,0,4,1,6,437,15,771,1069,0,0,north lawndale,21.75
29,2015,1909,23,67,1755,5,35,250,302,32,0,279,36,19,168,0,0,95,0,541,192,391,6,0,2,2,0,2,518,35,830,913,4,1,north lawndale,26.475
29,2016,2172,33,62,1188,22,34,345,295,19,0,316,45,20,221,2,0,102,0,670,174,450,1,0,0,8,3,9,611,22,1017,954,1,0,north lawndale,38.18333333
29,2017,2016,43,73,1649,20,70,361,266,23,0,261,54,17,362,0,0,72,0,648,281,392,4,0,0,2,4,3,615,22,840,965,1,2,north lawndale,51.41666667
29,2018,1929,32,76,2101,22,89,307,296,30,0,277,51,17,325,0,0,51,0,684,251,376,3,0,0,6,1,5,494,29,869,997,2,11,north lawndale,62.03333333
30,2011,1144,15,49,575,56,17,574,318,4,0,119,24,16,60,0,1,238,0,378,87,245,5,0,0,2,1,33,427,24,676,924,8,0,south lawndale,30.22727273
30,2012,1197,13,65,542,20,12,385,312,1,0,121,29,12,66,0,0,173,0,383,71,262,3,0,0,4,0,44,350,37,693,967,20,0,south lawndale,34.70833333
30,2013,1000,10,50,453,51,12,256,253,2,0,125,35,11,60,0,0,200,0,357,86,243,10,0,0,4,0,37,313,21,632,878,9,0,south lawndale,43.23333333
30,2014,993,14,61,456,7,9,224,241,0,0,160,22,11,69,1,0,151,0,322,72,184,2,0,1,3,1,30,304,30,568,828,7,0,south lawndale,51.65
30,2015,1011,13,59,344,0,21,208,178,1,0,172,28,15,90,1,0,103,0,305,57,205,3,0,0,1,3,28,312,24,566,700,4,0,south lawndale,59.675
30,2016,1081,18,54,161,0,14,246,195,0,0,237,31,25,79,1,0,54,0,407,71,242,2,0,0,5,2,24,357,38,570,776,4,0,south lawndale,67.54166667
30,2017,940,7,68,177,3,13,247,193,1,0,143,36,12,146,1,1,50,0,393,71,210,1,0,0,3,2,11,345,29,570,851,11,0,south lawndale,89.71666667
30,2018,990,8,64,269,1,20,249,177,0,0,177,35,8,165,0,1,38,0,372,90,195,5,0,0,3,1,8,307,31,526,795,5,4,south lawndale,100.3
31,2011,568,2,29,305,3,5,297,225,0,0,97,12,6,39,0,0,107,0,207,80,78,2,0,0,2,1,16,177,12,494,678,5,0,lower west side,84.49090909
31,2012,533,7,25,281,1,9,332,135,0,0,91,15,4,38,0,0,108,0,237,70,78,1,0,0,5,0,19,178,10,443,676,1,0,lower west side,92.58333333
31,2013,507,6,30,229,1,8,257,155,1,0,102,13,10,39,0,0,78,0,193,85,66,3,0,0,1,1,15,152,14,389,722,1,0,lower west side,113.58333329999999
31,2014,446,2,23,193,0,5,174,122,0,0,116,12,7,23,0,0,43,0,182,86,47,0,0,1,1,1,9,142,16,378,679,2,0,lower west side,113.14166670000002
31,2015,461,4,16,131,2,3,166,87,0,0,114,18,8,40,0,0,43,0,199,63,63,0,0,0,2,0,10,142,18,395,541,1,1,lower west side,167.7666667
31,2016,484,11,21,83,0,5,113,136,0,0,169,15,14,32,0,0,17,0,216,42,86,3,0,0,2,1,3,173,9,399,589,2,0,lower west side,188.45833330000002
31,2017,529,7,27,40,0,5,112,201,0,0,132,21,6,48,0,0,10,0,222,78,113,1,0,0,2,0,4,159,16,373,521,0,0,lower west side,210.58333330000002
31,2018,442,1,19,59,0,4,101,118,0,0,146,21,2,54,0,0,13,0,218,70,95,0,0,0,1,0,3,136,14,299,563,6,1,lower west side,210.3
32,2011,556,1,8,286,43,9,128,90,1,0,816,16,0,9,0,2,72,0,282,391,240,4,2,0,16,1,10,311,28,291,3988,6,0,loop,291.36969700000003
32,2012,597,0,17,213,29,12,65,115,1,0,1006,31,0,11,1,1,53,0,295,395,201,2,0,0,9,1,12,245,23,277,4160,5,0,loop,322.1722222
32,2013,630,0,12,214,35,5,79,89,0,0,1153,19,1,10,0,3,60,0,304,411,196,1,2,0,4,1,6,257,32,279,3983,5,0,loop,334.8027778
32,2014,645,1,13,150,16,12,69,81,1,0,1141,23,0,8,2,2,74,0,274,342,158,1,0,0,6,0,7,195,23,311,3736,3,0,loop,341.4194444
32,2015,723,2,16,120,21,8,74,87,0,0,966,13,5,7,0,0,75,0,298,310,194,0,0,0,3,0,9,235,32,341,4049,7,0,loop,344.2027778
32,2016,788,2,10,88,6,10,96,132,0,1,1360,41,2,13,4,3,58,0,349,257,310,4,0,0,7,2,6,274,34,385,4784,2,0,loop,361.5861111
32,2017,923,0,7,74,23,10,148,107,0,1,1544,42,3,12,2,1,56,0,456,247,387,4,4,0,7,1,9,230,31,409,5882,4,0,loop,351.53333330000004
32,2018,1027,4,7,95,1,16,123,76,0,1,1686,47,3,20,1,2,71,0,475,291,317,2,0,0,7,0,11,279,39,467,5790,3,1,loop,338.8
33,2011,222,0,6,40,0,1,74,86,0,0,129,5,4,8,0,0,9,0,81,91,53,2,0,0,1,1,2,122,0,149,681,1,0,near south side,210.8681818
33,2012,239,1,11,51,3,3,69,89,0,0,116,7,0,2,0,0,6,0,111,98,65,2,0,0,6,0,2,91,5,157,730,0,0,near south side,240.88541669999998
33,2013,236,1,11,33,1,5,63,40,0,0,154,7,2,4,0,0,10,0,75,143,39,2,1,0,2,0,1,117,4,176,685,0,0,near south side,264.75625
33,2014,272,0,9,36,7,6,61,56,0,0,187,9,1,5,0,0,8,0,81,127,40,0,1,0,7,0,4,89,6,128,640,0,0,near south side,268.5395833
33,2015,291,2,15,33,2,4,55,55,0,0,234,7,1,8,1,0,10,0,84,110,58,0,0,0,3,1,2,96,13,183,613,2,1,near south side,269.74375
33,2016,272,4,12,24,0,3,64,47,0,0,296,14,1,3,0,0,7,0,117,97,50,2,0,0,5,1,1,97,4,170,656,0,0,near south side,285.4208333
33,2017,300,0,11,18,6,4,90,61,0,0,306,9,1,8,2,0,4,0,94,85,93,0,0,0,2,2,0,115,15,155,558,0,0,near south side,286.5833333
33,2018,289,3,5,19,0,1,72,32,0,0,263,12,2,12,0,0,9,0,122,53,49,1,0,0,1,1,7,111,9,190,592,2,1,near south side,280.125
35,2011,571,0,14,215,0,2,141,93,6,0,88,14,0,17,0,0,20,0,213,97,133,1,0,0,3,0,2,170,4,231,666,0,0,douglas,60.05454545
35,2012,566,0,18,198,1,4,129,91,6,0,108,9,0,18,0,0,16,0,211,150,127,5,0,0,3,0,0,174,10,241,688,2,0,douglas,93.38333333
35,2013,558,4,19,237,0,6,113,74,2,0,142,16,1,15,0,0,23,0,205,148,119,0,0,0,1,1,1,132,10,216,746,1,0,douglas,88.975
35,2014,515,3,15,169,0,5,127,50,0,0,184,13,1,23,0,0,24,0,206,173,136,2,0,0,1,0,0,154,9,199,557,0,0,douglas,100.1333333
35,2015,505,3,15,118,1,4,105,55,0,1,205,12,3,23,0,1,17,0,181,109,89,2,0,1,0,0,1,169,9,255,639,0,0,douglas,124.03333329999998
35,2016,476,4,13,82,0,6,96,48,0,0,191,16,0,24,2,0,13,0,204,103,178,2,0,0,4,0,0,167,14,268,702,3,0,douglas,154.775
35,2017,541,3,17,53,0,3,91,73,0,0,209,19,0,20,0,0,8,0,205,123,157,2,0,0,2,0,0,151,9,220,716,3,0,douglas,159.44166669999998
35,2018,578,7,16,45,0,6,100,53,2,0,185,17,1,22,0,0,16,0,239,101,113,2,0,0,3,1,0,217,7,251,727,2,0,douglas,127.46666670000002
36,2011,195,2,9,45,0,1,35,44,1,0,14,3,0,10,0,0,3,0,63,29,24,1,0,0,1,0,0,74,3,88,150,1,0,oakland,105.2727273
36,2012,161,1,18,30,0,0,24,39,3,0,19,6,0,11,0,0,8,0,51,32,27,0,0,0,0,0,1,66,6,106,162,0,0,oakland,94.60833333
36,2013,138,0,7,49,0,1,25,24,4,0,31,2,0,8,0,0,10,0,56,74,22,0,0,0,1,0,0,64,1,76,120,0,0,oakland,105.125
36,2014,141,0,3,20,0,0,36,26,0,0,34,3,2,9,0,0,2,0,60,41,24,0,0,0,0,0,0,40,2,86,113,1,0,oakland,145.16666669999998
36,2015,112,3,7,20,0,0,38,18,0,0,43,6,1,7,0,0,2,0,54,18,27,0,0,0,0,1,0,51,3,81,140,0,0,oakland,133.00833329999998
36,2016,120,4,5,7,0,0,39,30,0,0,37,4,1,13,1,0,1,0,56,16,23,2,0,0,1,1,0,56,2,90,190,1,0,oakland,145.45
36,2017,123,0,2,1,0,0,36,22,0,0,43,5,2,5,0,0,1,0,62,22,27,1,0,0,0,1,0,68,6,110,144,0,0,oakland,167.4833333
36,2018,131,1,7,4,0,0,26,15,0,0,57,5,0,6,0,0,1,0,66,13,20,0,0,0,0,0,0,79,2,96,134,0,1,oakland,202.4666667
37,2011,188,1,9,134,0,6,66,65,3,0,50,4,1,25,0,0,3,0,72,44,103,0,0,0,0,0,0,48,3,108,255,1,0,fuller park,17.95454545
37,2012,175,1,8,124,0,7,60,38,0,0,160,1,1,25,0,1,8,0,81,39,89,0,0,0,1,0,1,46,4,100,252,3,0,fuller park,10.65833333
37,2013,189,0,12,168,0,3,47,36,2,0,71,1,0,18,0,0,9,0,72,45,56,1,0,0,0,0,1,49,0,92,203,3,0,fuller park,20.9
37,2014,161,1,24,113,1,5,33,32,0,0,67,5,3,13,0,0,11,0,56,47,53,1,0,0,1,0,1,48,1,78,176,1,0,fuller park,24.80833333
37,2015,169,3,9,73,0,10,28,32,0,0,50,4,2,24,1,0,6,0,56,26,51,1,0,1,0,0,0,49,3,85,158,1,0,fuller park,39.375
37,2016,171,5,13,36,0,6,42,21,1,0,52,9,2,15,0,0,3,1,95,35,55,0,0,0,0,1,0,30,3,91,239,0,0,fuller park,31.85833333
37,2017,157,2,10,34,0,9,42,22,0,0,50,2,2,25,0,0,1,0,85,33,59,0,0,0,1,0,0,43,3,88,210,2,0,fuller park,56.80833333
37,2018,178,2,3,33,0,12,51,12,0,1,44,5,0,23,0,0,6,0,72,46,34,1,0,0,1,1,0,56,3,89,161,2,0,fuller park,62.13333333
38,2011,945,8,28,630,62,9,263,229,15,0,98,19,3,49,0,0,24,0,381,138,197,4,0,0,2,1,3,278,7,560,792,0,0,grand boulevard,38.86363636
38,2012,899,8,37,497,20,10,187,187,14,0,129,22,1,38,0,1,38,0,313,83,209,2,0,0,4,0,2,259,14,431,716,0,0,grand boulevard,47.05
38,2013,814,7,37,541,34,18,172,208,7,0,145,16,1,45,0,0,35,0,317,85,201,2,0,0,0,0,4,248,7,349,706,2,0,grand boulevard,54.075
38,2014,729,8,32,345,9,14,139,169,3,0,180,12,2,45,0,0,38,0,284,84,170,2,0,0,2,0,1,222,10,348,654,1,0,grand boulevard,61.25833333
38,2015,672,7,25,171,10,4,151,121,0,0,189,16,4,38,0,0,14,0,222,69,153,4,0,0,3,1,1,192,13,374,698,1,0,grand boulevard,83.425
38,2016,666,9,35,88,1,12,154,139,2,1,203,25,1,46,0,0,12,0,264,60,183,1,0,0,2,1,4,215,14,437,729,0,0,grand boulevard,101.08333329999999
38,2017,744,10,23,130,25,17,175,165,2,0,213,14,1,61,0,0,15,0,286,74,186,0,0,0,3,3,5,254,8,387,646,4,0,grand boulevard,117.025
38,2018,762,11,35,114,17,17,158,118,0,1,223,16,2,46,0,1,9,0,282,57,147,2,0,0,3,1,1,228,12,368,611,0,0,grand boulevard,119.4
39,2011,380,3,16,132,2,2,79,150,1,0,61,7,2,17,0,0,12,0,137,33,88,1,0,0,2,1,0,134,4,260,548,2,0,kenwood,79.29090909
39,2012,303,3,8,77,1,0,83,113,5,0,55,8,1,16,0,0,8,0,128,51,84,1,0,0,4,0,1,134,4,196,511,0,0,kenwood,86.45833333
39,2013,256,1,14,112,0,2,71,72,2,0,80,6,1,13,0,0,9,0,99,42,54,1,0,0,0,0,0,130,6,176,449,0,0,kenwood,96.06666667
39,2014,235,1,12,94,1,1,68,78,0,0,123,4,0,12,0,0,7,0,88,37,87,0,0,0,0,0,0,98,3,140,411,0,0,kenwood,108.76666670000002
39,2015,252,5,12,58,0,1,74,56,0,0,113,7,2,16,0,0,7,0,89,36,82,0,0,0,0,0,0,98,7,148,307,0,0,kenwood,117.43333329999999
39,2016,270,3,6,11,0,0,57,83,0,0,120,12,2,7,0,0,2,0,114,33,80,0,0,0,0,0,0,96,7,167,339,2,0,kenwood,126.06666670000001
39,2017,254,4,11,8,0,1,67,54,0,0,127,11,0,11,1,0,4,0,126,36,102,2,0,0,2,2,0,115,7,180,406,0,0,kenwood,131.875
39,2018,262,1,7,12,0,2,71,55,0,0,127,9,3,8,0,0,5,0,118,46,61,0,0,0,0,1,0,103,6,186,370,4,0,kenwood,117.3
40,2011,851,9,22,569,63,10,210,313,22,0,60,22,4,75,0,0,24,0,256,146,177,3,0,0,0,0,0,225,10,415,521,1,0,washington park,22.48181818
40,2012,820,13,26,371,30,9,186,251,14,0,58,11,6,65,0,1,33,0,242,101,154,3,0,0,0,0,2,184,5,374,511,0,0,washington park,25.83333333
40,2013,761,2,28,421,28,15,131,195,19,0,65,16,3,44,0,0,25,0,243,95,209,1,0,0,0,0,2,186,11,310,565,0,0,washington park,28.38333333
40,2014,697,4,28,290,6,13,111,187,6,0,99,16,0,33,0,0,31,0,224,83,163,1,0,0,2,2,2,182,7,283,471,1,0,washington park,36.46666667
40,2015,690,4,27,154,0,10,81,203,3,1,103,12,4,44,0,0,22,0,232,62,124,0,0,0,1,1,4,179,12,390,405,0,0,washington park,36.19166667
40,2016,681,11,19,97,0,4,97,175,2,0,112,12,1,41,0,0,23,0,224,61,173,2,0,0,1,0,1,186,6,345,430,2,0,washington park,50.31666667
40,2017,713,12,29,50,2,16,115,135,0,0,110,18,6,55,0,0,20,0,250,54,165,4,0,0,1,4,0,183,6,356,422,1,0,washington park,53.29166667
40,2018,678,10,26,53,4,14,100,97,5,0,103,14,2,65,0,0,17,0,276,57,102,1,0,0,5,0,0,218,4,487,460,2,0,washington park,52.0
41,2011,233,1,13,114,0,3,129,167,2,0,117,7,2,4,0,0,5,0,100,41,104,2,0,0,3,1,3,137,12,217,744,0,0,hyde park,136.3545455
41,2012,225,0,26,43,0,1,93,135,2,0,118,14,0,5,0,1,5,0,119,45,100,1,0,0,1,0,2,88,8,223,665,0,0,hyde park,140.66666669999998
41,2013,191,2,10,34,1,0,80,142,3,0,97,14,1,5,0,0,9,0,93,51,77,0,0,0,1,0,0,86,3,150,619,1,0,hyde park,138.9
41,2014,172,3,7,17,0,0,62,111,0,0,134,8,0,4,0,0,5,0,59,26,78,0,0,0,2,0,0,86,9,136,501,0,0,hyde park,148.94166669999998
41,2015,194,0,12,15,0,2,87,86,1,0,135,14,0,3,0,1,7,0,78,33,92,0,0,0,2,0,0,98,12,157,487,0,0,hyde park,156.16666669999998
41,2016,168,2,10,9,0,2,73,166,0,0,186,8,1,5,0,0,10,0,72,43,94,0,0,0,2,0,1,113,7,216,572,1,0,hyde park,173.85
41,2017,209,1,14,7,0,1,64,103,0,0,179,23,1,5,0,0,7,0,96,24,98,0,0,0,0,0,2,123,7,135,623,2,0,hyde park,176.6
41,2018,213,4,16,10,0,1,64,103,0,1,195,21,0,6,0,0,8,0,102,34,111,1,0,0,6,2,2,103,7,288,661,2,0,hyde park,186.43333330000002
42,2011,1126,14,52,871,18,24,237,407,18,0,120,26,6,116,0,0,71,0,376,216,216,8,0,0,1,2,1,387,24,545,827,0,0,woodlawn,38.06363636
42,2012,1106,20,42,778,53,25,144,335,19,0,122,13,5,101,0,0,86,0,393,223,220,0,0,0,1,1,6,293,13,566,837,4,0,woodlawn,42.18333333
